Number of Variables;28;
Variables:;
0;L@0;this;
1;L@5;zzEndReadL;
2;L@0.weka.core.expressionlanguage.parser.Scanner.zzEndRead;this.zzEndRead;
3;L@6;zzBufferL;
4;L@0.weka.core.expressionlanguage.parser.Scanner.zzBuffer;this.zzBuffer;
5;L@7;zzCMapL;
6;S@weka.core.expressionlanguage.parser.Scanner.ZZ_CMAP;null;
7;L@8;zzTransL;
8;S@weka.core.expressionlanguage.parser.Scanner.ZZ_TRANS;null;
9;L@9;zzRowMapL;
10;S@weka.core.expressionlanguage.parser.Scanner.ZZ_ROWMAP;null;
11;L@10;zzAttrL;
12;S@weka.core.expressionlanguage.parser.Scanner.ZZ_ATTRIBUTE;null;
13;L@4;zzMarkedPosL;
14;L@0.weka.core.expressionlanguage.parser.Scanner.zzMarkedPos;this.zzMarkedPos;
15;L@2;zzAction;
16;L@0.weka.core.expressionlanguage.parser.Scanner.zzStartRead;this.zzStartRead;
17;L@0.weka.core.expressionlanguage.parser.Scanner.zzCurrentPos;this.zzCurrentPos;
18;L@3;zzCurrentPosL;
19;L@0.weka.core.expressionlanguage.parser.Scanner.zzState;this.zzState;
20;S@weka.core.expressionlanguage.parser.Scanner.ZZ_LEXSTATE;ZZ_LEXSTATE;
21;L@0.weka.core.expressionlanguage.parser.Scanner.zzLexicalState;this.zzLexicalState;
22;L@11;zzAttributes;
23;L@1;zzInput;
24;L@0.weka.core.expressionlanguage.parser.Scanner.zzAtEOF;this.zzAtEOF;
25;L@12;eof;
26;S@weka.core.expressionlanguage.parser.Scanner.ZZ_ACTION;ZZ_ACTION;
27;L@0.weka.core.expressionlanguage.parser.Scanner.string;this.string;

Number of Block duas;438;
Line Duas for method; next_token;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;543;;552;0;this;
2;543;;556;0;this;
3;543;;556;0;this;
4;543;;558;0;this;
5;543;;561;0;this;
6;543;574;575;0;this;
7;543;574;580;0;this;
8;543;;580;0;this;
9;543;;581;0;this;
10;543;;582;0;this;
11;543;;584;0;this;
12;543;;585;0;this;
13;543;;586;0;this;
14;543;;587;0;this;
15;543;;597;0;this;
16;543;;599;0;this;
17;543;;601;0;this;
18;543;;603;0;this;
19;543;;612;0;this;
20;543;;801;0;this;
21;543;;796;0;this;
22;543;;791;0;this;
23;543;;786;0;this;
24;543;;781;0;this;
25;543;;776;0;this;
26;543;;771;0;this;
27;543;;766;0;this;
28;543;;761;0;this;
29;543;;756;0;this;
30;543;;751;0;this;
31;543;;746;0;this;
32;543;;741;0;this;
33;543;;736;0;this;
34;543;;731;0;this;
35;543;;726;0;this;
36;543;;726;0;this;
37;543;;721;0;this;
38;543;;711;0;this;
39;543;;706;0;this;
40;543;;701;0;this;
41;543;;696;0;this;
42;543;;691;0;this;
43;543;;686;0;this;
44;543;;681;0;this;
45;543;;676;0;this;
46;543;;671;0;this;
47;543;;666;0;this;
48;543;;661;0;this;
49;543;;656;0;this;
50;543;;651;0;this;
51;543;;646;0;this;
52;543;;641;0;this;
53;543;;641;0;this;
54;543;;636;0;this;
55;543;;636;0;this;
56;543;;631;0;this;
57;543;;626;0;this;
58;543;;621;0;this;
59;543;;806;0;this;
60;543;614;615;0;this;
61;543;614;619;0;this;
62;543;;615;0;this;
63;543;;563;0;this;
64;543;;587;2;this.zzEndRead;
65;543;;586;4;this.zzBuffer;
66;543;;552;14;this.zzMarkedPos;
67;543;;558;20;ZZ_LEXSTATE;
68;543;;558;21;this.zzLexicalState;
69;543;574;575;24;this.zzAtEOF;
70;543;574;580;24;this.zzAtEOF;
71;543;619;806;26;ZZ_ACTION;
72;543;619;621;26;ZZ_ACTION;
73;543;619;626;26;ZZ_ACTION;
74;543;619;631;26;ZZ_ACTION;
75;543;619;636;26;ZZ_ACTION;
76;543;619;641;26;ZZ_ACTION;
77;543;619;646;26;ZZ_ACTION;
78;543;619;651;26;ZZ_ACTION;
79;543;619;656;26;ZZ_ACTION;
80;543;619;661;26;ZZ_ACTION;
81;543;619;666;26;ZZ_ACTION;
82;543;619;671;26;ZZ_ACTION;
83;543;619;676;26;ZZ_ACTION;
84;543;619;681;26;ZZ_ACTION;
85;543;619;686;26;ZZ_ACTION;
