Number of Variables;16;
Variables:;
0;L@0;this;
1;L@1;null;
2;L@0.weka.core.expressionlanguage.parser.Scanner.zzReader;null;
3;L@0.weka.core.expressionlanguage.parser.Scanner.zzAtBOL;null;
4;L@0.weka.core.expressionlanguage.parser.Scanner.zzAtEOF;null;
5;L@0.weka.core.expressionlanguage.parser.Scanner.zzEOFDone;null;
6;L@0.weka.core.expressionlanguage.parser.Scanner.zzStartRead;null;
7;L@0.weka.core.expressionlanguage.parser.Scanner.zzEndRead;null;
8;L@0.weka.core.expressionlanguage.parser.Scanner.zzMarkedPos;null;
9;L@0.weka.core.expressionlanguage.parser.Scanner.zzCurrentPos;null;
10;L@0.weka.core.expressionlanguage.parser.Scanner.zzFinalHighSurrogate;null;
11;L@0.weka.core.expressionlanguage.parser.Scanner.yycolumn;null;
12;L@0.weka.core.expressionlanguage.parser.Scanner.yychar;null;
13;L@0.weka.core.expressionlanguage.parser.Scanner.yyline;null;
14;L@0.weka.core.expressionlanguage.parser.Scanner.zzLexicalState;null;
15;L@0.weka.core.expressionlanguage.parser.Scanner.zzBuffer;this.zzBuffer;

Number of Block duas;5;
Line Duas for method; yyreset;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;422;431;432;0;this;
2;422;431;433;0;this;
3;422;;432;0;this;
4;422;431;432;15;this.zzBuffer;
5;422;431;433;15;this.zzBuffer;

Block Duas for method; yyreset;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;422;431;432;0;this;
2;0;0;1;0;this;
;422;431;433;0;this;
3;0;;2;0;this;
;422;;432;0;this;
4;0;0;2;15;this.zzBuffer;
;422;431;432;15;this.zzBuffer;
5;0;0;1;15;this.zzBuffer;
;422;431;433;15;this.zzBuffer;
