Number of Variables;8;
Variables:;
0;L@0;packed;
1;L@1;null;
2;L@2;result;
3;L@3;i;
4;L@4;j;
5;L@5;l;
6;L@6;count;
7;L@7;value;

Number of Block duas;19;
Line Duas for method; zzUnpackAction;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;101;;105;0;packed;
2;101;;106;0;packed;
3;101;;107;2;result;
4;101;104;105;3;i;
5;101;104;109;3;i;
6;101;;105;3;i;
7;102;;109;4;j;
8;102;;107;4;j;
9;103;104;105;5;l;
10;103;104;109;5;l;
11;105;;107;6;count;
12;106;104;105;3;i;
13;106;104;109;3;i;
14;106;;105;3;i;
15;106;;107;7;value;
16;107;;107;4;j;
17;107;;109;4;j;
18;107;107;108;6;count;
19;107;107;107;6;count;
20;107;;107;6;count;

Block Duas for method; zzUnpackAction;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;packed;
;101;;105;0;packed;
;101;;106;0;packed;
2;0;;4;2;result;
;101;;107;2;result;
3;0;1;3;3;i;
;101;104;105;3;i;
4;0;1;2;3;i;
;101;104;109;3;i;
5;0;;3;3;i;
;101;;105;3;i;
6;0;;2;4;j;
;102;;109;4;j;
7;0;;4;4;j;
;102;;107;4;j;
8;0;1;3;5;l;
;103;104;105;5;l;
9;0;1;2;5;l;
;103;104;109;5;l;
10;3;;4;6;count;
;105;;107;6;count;
11;3;1;3;3;i;
;106;104;105;3;i;
12;3;1;2;3;i;
;106;104;109;3;i;
13;3;;3;3;i;
;106;;105;3;i;
14;3;;4;7;value;
;106;;107;7;value;
15;4;;4;4;j;
;107;;107;4;j;
16;4;;2;4;j;
;107;;109;4;j;
17;4;4;5;6;count;
;107;107;108;6;count;
18;4;4;4;6;count;
;107;107;107;6;count;
19;4;;4;6;count;
;107;;107;6;count;
