Number of Variables;8;
Variables:;
0;L@0;packed;
1;L@1;null;
2;L@2;result;
3;L@3;i;
4;L@4;j;
5;L@5;l;
6;L@6;count;
7;L@7;value;

Number of Block duas;19;
Line Duas for method; zzUnpackTrans;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;202;;206;0;packed;
2;202;;207;0;packed;
3;202;;209;2;result;
4;202;205;206;3;i;
5;202;205;211;3;i;
6;202;;206;3;i;
7;203;;211;4;j;
8;203;;209;4;j;
9;204;205;206;5;l;
10;204;205;211;5;l;
11;206;;209;6;count;
12;207;205;206;3;i;
13;207;205;211;3;i;
14;207;;206;3;i;
15;208;;209;7;value;
16;209;;209;4;j;
17;209;;211;4;j;
18;209;209;210;6;count;
19;209;209;209;6;count;
20;209;;209;6;count;

Block Duas for method; zzUnpackTrans;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;packed;
;202;;206;0;packed;
;202;;207;0;packed;
2;0;;4;2;result;
;202;;209;2;result;
3;0;1;3;3;i;
;202;205;206;3;i;
4;0;1;2;3;i;
;202;205;211;3;i;
5;0;;3;3;i;
;202;;206;3;i;
6;0;;2;4;j;
;203;;211;4;j;
7;0;;4;4;j;
;203;;209;4;j;
8;0;1;3;5;l;
;204;205;206;5;l;
9;0;1;2;5;l;
;204;205;211;5;l;
10;3;;4;6;count;
;206;;209;6;count;
11;3;1;3;3;i;
;207;205;206;3;i;
12;3;1;2;3;i;
;207;205;211;3;i;
13;3;;3;3;i;
;207;;206;3;i;
14;3;;4;7;value;
;208;;209;7;value;
15;4;;4;4;j;
;209;;209;4;j;
16;4;;2;4;j;
;209;;211;4;j;
17;4;4;5;6;count;
;209;209;210;6;count;
18;4;4;4;6;count;
;209;209;209;6;count;
19;4;;4;6;count;
;209;;209;6;count;
