@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.cli.TypeHandler.createValue,20,28,45,45,100.0,0,8
@@ org.apache.commons.cli.TypeHandler.createDate,4,4,5,4,80.0,0,0
@@ org.apache.commons.cli.Options.addOptionGroup,6,7,12,11,91.66666666666666,0,0
@@ org.apache.commons.cli.Options.addOption,8,10,23,18,78.26086956521739,0,0
@@ org.apache.commons.cli.Options.helpOptions,7,8,10,8,80.0,0,1
@@ org.apache.commons.cli.Options.getOption,4,4,12,12,100.0,0,0
@@ org.apache.commons.cli.Options.hasOption,6,7,12,6,50.0,0,0
@@ org.apache.commons.cli.HelpFormatter.printHelp,14,20,37,31,83.78378378378379,0,1
@@ org.apache.commons.cli.HelpFormatter.printUsage,11,14,22,19,86.36363636363636,0,1
@@ org.apache.commons.cli.HelpFormatter.appendOptionGroup,10,13,14,11,78.57142857142857,0,1
@@ org.apache.commons.cli.HelpFormatter.appendOption,12,16,18,14,77.77777777777779,0,0
@@ org.apache.commons.cli.HelpFormatter.renderOptions,25,34,76,57,75.0,0,2
@@ org.apache.commons.cli.HelpFormatter.renderWrappedText,7,8,28,26,92.85714285714286,0,1
@@ org.apache.commons.cli.HelpFormatter.findWrapPos,26,40,88,38,43.18181818181818,0,2
@@ org.apache.commons.cli.HelpFormatter.createPadding,5,5,10,6,60.0,0,0
@@ org.apache.commons.cli.HelpFormatter.rtrim,9,12,21,9,42.857142857142854,0,0
@@ org.apache.commons.cli.CommandLine.getOptionObject,7,8,13,13,100.0,0,0
@@ org.apache.commons.cli.CommandLine.getOptionValue,5,5,3,3,100.0,0,0
@@ org.apache.commons.cli.CommandLine.getOptionValues,6,7,21,12,57.14285714285714,0,0
@@ org.apache.commons.cli.CommandLine.getOptionValue,5,5,4,4,100.0,0,0
@@ org.apache.commons.cli.CommandLine.addOption,5,5,12,10,83.33333333333334,0,1
@@ org.apache.commons.cli.PosixParser.flatten,21,28,46,46,100.0,0,1
@@ org.apache.commons.cli.PosixParser.gobble,5,6,9,6,66.66666666666666,0,1
@@ org.apache.commons.cli.PosixParser.process,9,12,25,19,76.0,0,0
@@ org.apache.commons.cli.PosixParser.processOptionToken,6,7,13,12,92.3076923076923,0,0
@@ org.apache.commons.cli.PosixParser.burstToken,12,16,43,26,60.46511627906976,0,1
@@ org.apache.commons.cli.Option.<init>,4,4,6,5,83.33333333333334,0,0
@@ org.apache.commons.cli.Option.getKey,4,4,8,8,100.0,0,0
@@ org.apache.commons.cli.Option.hasLongOpt,5,5,4,4,100.0,0,0
@@ org.apache.commons.cli.Option.hasArg,6,7,8,4,50.0,0,0
@@ org.apache.commons.cli.Option.hasArgName,6,7,8,4,50.0,0,0
@@ org.apache.commons.cli.Option.hasArgs,6,7,8,4,50.0,0,1
@@ org.apache.commons.cli.Option.hasValueSeparator,5,5,4,4,100.0,0,0
@@ org.apache.commons.cli.Option.addValue,4,4,6,6,100.0,0,0
@@ org.apache.commons.cli.Option.processValue,8,10,23,15,65.21739130434783,0,0
@@ org.apache.commons.cli.Option.add,5,6,13,8,61.53846153846154,0,0
@@ org.apache.commons.cli.Option.getValue,5,5,4,4,100.0,0,0
@@ org.apache.commons.cli.Option.getValue,5,5,5,5,100.0,0,1
@@ org.apache.commons.cli.Option.getValue,5,5,4,4,100.0,0,0
@@ org.apache.commons.cli.Option.getValues,5,5,4,4,100.0,0,0
@@ org.apache.commons.cli.Option.toString,8,10,24,18,75.0,0,0
@@ org.apache.commons.cli.Option.hasNoValues,5,5,4,4,100.0,0,0
@@ org.apache.commons.cli.Option.equals,17,25,43,24,55.81395348837209,0,0
@@ org.apache.commons.cli.Option.hashCode,8,9,11,11,100.0,0,0
@@ org.apache.commons.cli.Util.stripLeadingHyphens,6,7,7,7,100.0,0,1
@@ org.apache.commons.cli.Util.stripLeadingAndTrailingQuotes,6,7,12,2,16.666666666666664,0,0
@@ org.apache.commons.cli.GnuParser.flatten,40,57,154,84,54.54545454545454,0,2
@@ org.apache.commons.cli.OptionGroup.setSelected,5,6,14,9,64.28571428571429,0,0
@@ org.apache.commons.cli.OptionGroup.toString,10,12,15,14,93.33333333333333,0,1
@@ org.apache.commons.cli.PatternOptionBuilder.getValueClass,20,28,27,27,100.0,0,1
@@ org.apache.commons.cli.PatternOptionBuilder.isValueCode,13,22,20,10,50.0,0,0
@@ org.apache.commons.cli.PatternOptionBuilder.parsePattern,20,26,56,15,26.785714285714285,0,1
@@ org.apache.commons.cli.Parser.parse,25,36,59,40,67.79661016949152,0,2
@@ org.apache.commons.cli.Parser.processProperties,17,25,33,23,69.6969696969697,0,1
@@ org.apache.commons.cli.Parser.checkRequiredOptions,7,8,11,11,100.0,0,0
@@ org.apache.commons.cli.Parser.processOption,12,16,35,29,82.85714285714286,0,1
@@ org.apache.commons.cli.OptionBuilder.hasArg,5,5,3,3,100.0,0,0
@@ org.apache.commons.cli.OptionBuilder.create,4,4,2,2,100.0,0,0
@@ org.apache.commons.cli.OptionValidator.validateOption,13,17,26,16,61.53846153846154,0,1
@@ org.apache.commons.cli.OptionValidator.isValidOpt,8,11,8,4,50.0,0,0
