@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ com.google.debugging.sourcemap.SourceMapLineDecoder$StringParser.hasNext,5,5,6,6,100.0,0,7
@@ com.google.debugging.sourcemap.SourceMapSection.getSectionUrl,5,6,10,10,100.0,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$LineMapper.visit,17,23,47,40,85.1063829787234,0,3
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$LineMapper.writeEntry,5,6,21,21,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$LineMapper.openLine,4,4,4,4,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$LineMapper.closeLine,4,4,4,4,100.0,0,0
@@ com.google.debugging.sourcemap.SourceMapConsumerV1$ParseState.readLineOrNull,6,7,18,17,94.44444444444444,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV1$ParseState.readLine,4,4,4,4,100.0,0,0
@@ com.google.debugging.sourcemap.SourceMapConsumerV1$ParseState.expectLine,4,4,7,7,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV2.parseInternal,16,21,42,36,85.71428571428571,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV2.getMappingForLine,20,27,42,42,100.0,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$MappingWriter.appendMappingTo,8,10,36,34,94.44444444444444,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$MappingWriter.appendMappings,7,8,10,10,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorFactory.getInstance,6,8,8,8,100.0,0,0
@@ com.google.debugging.sourcemap.Base64VLQ.toVLQSigned,4,4,4,4,100.0,0,1
@@ com.google.debugging.sourcemap.Base64VLQ.fromVLQSigned,8,9,6,6,100.0,0,0
@@ com.google.debugging.sourcemap.Base64VLQ.encode,6,7,10,9,90.0,0,2
@@ com.google.debugging.sourcemap.Base64VLQ.decode,7,8,11,9,81.81818181818183,0,0
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$MappingBuilder.build,13,16,32,18,56.25,0,2
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$MappingBuilder.validateEntry,13,17,22,22,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$MappingBuilder.decodeEntry,6,8,21,21,100.0,0,2
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$MappingBuilder.tryConsumeToken,5,6,12,12,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$MappingBuilder.entryComplete,8,10,10,10,100.0,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$MappingWriter.appendMappingTo,6,7,24,23,95.83333333333334,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$MappingWriter.appendMappings,7,8,10,10,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerFactory.parse,9,12,13,13,100.0,0,0
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.parse,8,10,13,13,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.parseMetaMap,26,38,53,44,83.01886792452831,0,2
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.getMappingForLine,21,28,39,39,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.getReverseMapping,8,10,15,15,100.0,0,2
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.getJavaStringArray,5,5,11,7,63.63636363636363,0,0
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.getOriginalMappingForEntry,6,7,12,12,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.createReverseMapping,16,22,51,44,86.27450980392157,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.visitMappings,16,21,56,28,50.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.parseCharacterMap,22,30,91,27,29.67032967032967,0,2
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.parseFileMappings,15,21,81,40,49.382716049382715,0,3
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.parseInternal,9,11,22,18,81.81818181818183,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.getMappingForLine,16,23,40,32,80.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.binarySearch,10,12,25,17,68.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.getMappingFromId,4,4,4,4,100.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV1$LineFragment.valueAtColumn,8,9,18,11,61.111111111111114,0,0
