@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.apache.commons.codec.net.RFC1522Codec.encodeText,4,4,5,2,2,40.0,40.0,0,13
@@ org.apache.commons.codec.net.RFC1522Codec.decodeText,17,25,38,10,18,26.31578947368421,47.368421052631575,0,52
@@ org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable,14,18,34,11,19,32.35294117647059,55.88235294117647,0,43
@@ org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable,13,17,29,10,17,34.48275862068966,58.620689655172406,0,24
@@ org.apache.commons.codec.net.QuotedPrintableCodec.encode,4,4,4,2,2,50.0,50.0,0,1
@@ org.apache.commons.codec.net.QuotedPrintableCodec.decode,4,4,5,2,2,40.0,40.0,0,1
@@ org.apache.commons.codec.net.QuotedPrintableCodec.decode,4,4,4,2,2,50.0,50.0,0,1
@@ org.apache.commons.codec.net.QuotedPrintableCodec.encode,8,10,11,4,6,36.36363636363637,54.54545454545454,0,2
@@ org.apache.commons.codec.net.QuotedPrintableCodec.decode,8,10,11,4,6,36.36363636363637,54.54545454545454,0,1
@@ org.apache.commons.codec.net.QuotedPrintableCodec.encode,4,4,5,2,2,40.0,40.0,0,1
@@ org.apache.commons.codec.net.QCodec.doEncoding,10,13,26,7,13,26.923076923076923,50.0,0,6
@@ org.apache.commons.codec.net.QCodec.doDecoding,17,22,43,15,27,34.883720930232556,62.7906976744186,0,20
@@ org.apache.commons.codec.net.QCodec.encode,4,4,5,2,2,40.0,40.0,0,1
@@ org.apache.commons.codec.net.QCodec.encode,4,4,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.codec.net.QCodec.decode,4,4,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.codec.net.QCodec.encode,6,7,7,3,4,42.857142857142854,57.14285714285714,0,1
@@ org.apache.commons.codec.net.QCodec.decode,6,7,7,3,4,42.857142857142854,57.14285714285714,0,1
@@ org.apache.commons.codec.net.BCodec.doEncoding,4,4,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.apache.commons.codec.net.BCodec.doDecoding,4,4,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.apache.commons.codec.net.BCodec.encode,4,4,5,2,2,40.0,40.0,0,1
@@ org.apache.commons.codec.net.BCodec.encode,4,4,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.codec.net.BCodec.decode,4,4,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.codec.net.BCodec.encode,6,7,7,3,4,42.857142857142854,57.14285714285714,0,1
@@ org.apache.commons.codec.net.BCodec.decode,6,7,7,3,4,42.857142857142854,57.14285714285714,0,1
@@ org.apache.commons.codec.net.URLCodec.encodeUrl,16,21,39,13,24,33.33333333333333,61.53846153846154,0,20
@@ org.apache.commons.codec.net.URLCodec.decodeUrl,15,20,32,12,19,37.5,59.375,0,25
@@ org.apache.commons.codec.net.URLCodec.encode,4,4,5,2,2,40.0,40.0,0,0
@@ org.apache.commons.codec.net.URLCodec.encode,4,4,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.codec.net.URLCodec.decode,4,4,5,2,2,40.0,40.0,0,0
@@ org.apache.commons.codec.net.URLCodec.decode,4,4,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.codec.net.URLCodec.encode,8,10,11,4,6,36.36363636363637,54.54545454545454,0,0
@@ org.apache.commons.codec.net.URLCodec.decode,8,10,11,4,6,36.36363636363637,54.54545454545454,0,1
@@ org.apache.commons.codec.digest.DigestUtils.digest,5,5,10,2,4,20.0,40.0,0,5
@@ org.apache.commons.codec.language.SoundexUtils.clean,12,16,37,11,21,29.72972972972973,56.75675675675676,0,18
@@ org.apache.commons.codec.language.SoundexUtils.differenceEncoded,10,13,26,7,15,26.923076923076923,57.692307692307686,0,5
@@ org.apache.commons.codec.language.Caverphone.caverphone,5,6,5,3,4,60.0,80.0,0,0
@@ org.apache.commons.codec.language.Caverphone.encode,4,4,4,2,2,50.0,50.0,0,0
