@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.collections4.MapUtils.getObject,4,4,4,4,100.0,0,8
@@ org.apache.commons.collections4.MapUtils.getString,5,6,7,5,71.42857142857143,0,1
@@ org.apache.commons.collections4.MapUtils.getBoolean,13,18,19,16,84.21052631578947,0,2
@@ org.apache.commons.collections4.MapUtils.getNumber,8,11,12,9,75.0,0,2
@@ org.apache.commons.collections4.MapUtils.getByte,6,7,6,6,100.0,0,0
@@ org.apache.commons.collections4.MapUtils.getShort,6,7,6,6,100.0,0,1
@@ org.apache.commons.collections4.MapUtils.getInteger,6,7,6,6,100.0,0,1
@@ org.apache.commons.collections4.MapUtils.getLong,6,7,6,6,100.0,0,0
@@ org.apache.commons.collections4.MapUtils.getFloat,6,7,6,6,100.0,0,0
@@ org.apache.commons.collections4.MapUtils.getDouble,6,7,6,6,100.0,0,1
@@ org.apache.commons.collections4.MapUtils.getMap,6,8,9,6,66.66666666666666,0,3
@@ org.apache.commons.collections4.MapUtils.getObject,5,6,8,6,75.0,0,1
@@ org.apache.commons.collections4.MapUtils.getString,4,4,5,2,40.0,0,0
@@ org.apache.commons.collections4.MapUtils.getBoolean,4,4,5,2,40.0,0,0
@@ org.apache.commons.collections4.MapUtils.getNumber,4,4,5,2,40.0,0,0
@@ org.apache.commons.collections4.MapUtils.getByte,4,4,5,2,40.0,0,0
@@ org.apache.commons.collections4.MapUtils.getShort,4,4,5,2,40.0,0,0
@@ org.apache.commons.collections4.MapUtils.getInteger,4,4,5,2,40.0,0,0
@@ org.apache.commons.collections4.MapUtils.getLong,4,4,5,2,40.0,0,0
@@ org.apache.commons.collections4.MapUtils.getFloat,4,4,5,2,40.0,0,1
@@ org.apache.commons.collections4.MapUtils.getDouble,4,4,5,2,40.0,0,0
@@ org.apache.commons.collections4.MapUtils.getMap,4,4,5,2,40.0,0,1
@@ org.apache.commons.collections4.MapUtils.getByteValue,4,4,3,3,100.0,0,1
@@ org.apache.commons.collections4.MapUtils.getShortValue,4,4,3,3,100.0,0,0
@@ org.apache.commons.collections4.MapUtils.getIntValue,4,4,3,3,100.0,0,0
@@ org.apache.commons.collections4.MapUtils.getLongValue,4,4,3,3,100.0,0,1
@@ org.apache.commons.collections4.MapUtils.getFloatValue,4,4,3,3,100.0,0,0
@@ org.apache.commons.collections4.MapUtils.getDoubleValue,4,4,3,3,100.0,0,0
