@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.apache.commons.compress.changes.Change.<init>,4,4,4,2,2,50.0,50.0,0,10
@@ org.apache.commons.compress.changes.Change.<init>,5,6,7,3,4,42.857142857142854,57.14285714285714,0,3
@@ org.apache.commons.compress.changes.ChangeSet.perform,19,27,39,13,22,33.33333333333333,56.41025641025641,0,88
@@ org.apache.commons.compress.changes.ChangeSet.addDeletion,15,22,32,8,15,25.0,46.875,0,18
@@ org.apache.commons.compress.changes.ChangeSet.isDeletedLater,10,13,18,5,8,27.77777777777778,44.44444444444444,0,6
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.createArchiveInputStream,15,21,20,8,14,40.0,70.0,0,5
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.createArchiveOutputStream,15,21,20,8,14,40.0,70.0,0,5
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.createArchiveInputStream,16,22,30,8,14,26.666666666666668,46.666666666666664,0,8
@@ org.apache.commons.compress.archivers.jar.JarArchiveEntry.getCertificates,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.apache.commons.compress.archivers.jar.JarArchiveOutputStream.putNextEntry,4,4,8,2,3,25.0,37.5,0,1
@@ org.apache.commons.compress.archivers.jar.JarArchiveInputStream.getNextJarEntry,5,5,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.compress.archivers.zip.ZipEncodingHelper.growBuffer,5,5,6,2,3,33.33333333333333,50.0,0,1
@@ org.apache.commons.compress.archivers.zip.ZipEncodingHelper.getZipEncoding,8,10,11,4,6,36.36363636363637,54.54545454545454,0,1
@@ org.apache.commons.compress.archivers.zip.ZipEncodingHelper.isUTF8,8,10,10,6,10,60.0,100.0,0,2
@@ org.apache.commons.compress.archivers.zip.ZipShort.equals,8,10,10,4,6,40.0,60.0,0,2
@@ org.apache.commons.compress.archivers.zip.ZipEncodingHelper$SimpleEncodingHolder.getEncoding,4,4,9,2,3,22.22222222222222,33.33333333333333,0,2
@@ org.apache.commons.compress.archivers.zip.NioZipEncoding.encode,17,23,49,19,36,38.775510204081634,73.46938775510205,0,41
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.<init>,5,5,5,2,2,40.0,40.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.clone,5,5,7,2,3,28.57142857142857,42.857142857142854,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.setUnixMode,8,9,6,4,5,66.66666666666666,83.33333333333334,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getUnixMode,5,5,5,2,3,40.0,60.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.setExtraFields,5,5,12,2,4,16.666666666666664,33.33333333333333,0,2
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getExtraFields,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.addExtraField,4,4,9,2,3,22.22222222222222,33.33333333333333,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.addAsFirstExtraField,4,4,7,2,3,28.57142857142857,42.857142857142854,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.removeExtraField,6,7,11,3,4,27.27272727272727,36.36363636363637,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getExtraField,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getLocalFileDataExtra,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getName,5,5,6,2,3,33.33333333333333,50.0,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.mergeExtraFields,13,16,35,8,15,22.857142857142858,42.857142857142854,0,14
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils.createExtraField,4,4,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils.parse,10,12,38,8,16,21.052631578947366,42.10526315789473,0,5
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils.mergeLocalFileDataData,8,9,26,4,7,15.384615384615385,26.923076923076923,0,2
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils.mergeCentralDirectoryData,8,9,26,4,7,15.384615384615385,26.923076923076923,0,3
@@ org.apache.commons.compress.archivers.zip.ZipUtil.toDosTime,4,4,5,2,2,40.0,40.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipUtil.adjustToLong,4,4,4,2,2,50.0,50.0,0,1
@@ org.apache.commons.compress.archivers.zip.ZipFile.<init>,4,4,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipFile.closeQuietly,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.compress.archivers.zip.ZipFile.getInputStream,7,9,11,4,5,36.36363636363637,45.45454545454545,0,2
@@ org.apache.commons.compress.archivers.zip.ZipFile.populateFromCentralDirectory,16,22,40,12,16,30.0,40.0,0,10
@@ org.apache.commons.compress.archivers.zip.ZipFile.positionAtCentralDirectory,14,21,52,18,32,34.61538461538461,61.53846153846154,0,13
@@ org.apache.commons.compress.archivers.zip.ZipFile.resolveLocalFileHeaderData,12,15,33,7,12,21.21212121212121,36.36363636363637,0,10
@@ org.apache.commons.compress.archivers.zip.ZipFile.startsWithLocalFileHeader,7,8,16,5,10,31.25,62.5,0,2
@@ org.apache.commons.compress.archivers.zip.ZipFile.setNameAndCommentFromExtraFields,9,13,23,7,10,30.434782608695656,43.47826086956522,0,2
@@ org.apache.commons.compress.archivers.zip.ZipFile.getUnicodeStringIfOriginalMatches,5,6,9,3,4,33.33333333333333,44.44444444444444,0,0
@@ org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding.<init>,5,5,17,2,4,11.76470588235294,23.52941176470588,0,4
@@ org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding.decodeByte,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding.canEncodeChar,8,10,8,5,7,62.5,87.5,0,1
@@ org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding.pushEncodedChar,7,9,13,5,7,38.46153846153847,53.84615384615385,0,1
@@ org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding.encodeHighChar,14,18,48,11,19,22.916666666666664,39.58333333333333,0,10
@@ org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding.canEncode,7,8,15,4,8,26.666666666666668,53.333333333333336,0,2
@@ org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding.encode,9,11,30,7,15,23.333333333333332,50.0,0,6
@@ org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding.decode,5,5,12,2,4,16.666666666666664,33.33333333333333,0,1
@@ org.apache.commons.compress.archivers.zip.JarMarker.parseFromLocalFileData,4,4,2,2,2,100.0,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipFile$BoundedInputStream.read,6,7,12,3,4,25.0,33.33333333333333,0,1
@@ org.apache.commons.compress.archivers.zip.ZipFile$BoundedInputStream.read,12,16,35,7,10,20.0,28.57142857142857,0,3
@@ org.apache.commons.compress.archivers.zip.UnrecognizedExtraField.getCentralDirectoryLength,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.apache.commons.compress.archivers.zip.UnrecognizedExtraField.getCentralDirectoryData,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.apache.commons.compress.archivers.zip.UnrecognizedExtraField.parseFromCentralDirectoryData,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.compress.archivers.zip.UnrecognizedExtraField.copy,4,4,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField.assembleData,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField.getCentralDirectoryData,4,4,7,2,3,28.57142857142857,42.857142857142854,0,0
@@ org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField.getCentralDirectoryLength,4,4,7,2,3,28.57142857142857,42.857142857142854,0,1
@@ org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField.parseFromLocalFileData,6,7,11,3,4,27.27272727272727,36.36363636363637,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.isSeekable,5,5,4,2,2,50.0,50.0,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.setUseLanguageEncodingFlag,6,7,7,3,5,42.857142857142854,71.42857142857143,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.finish,5,5,9,1,2,11.11111111111111,22.22222222222222,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.closeEntry,17,23,62,8,14,12.903225806451612,22.58064516129032,0,7
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.putNextEntry,16,23,44,12,17,27.27272727272727,38.63636363636363,0,5
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.setLevel,8,10,13,4,7,30.76923076923077,53.84615384615385,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.write,14,19,51,8,14,15.686274509803921,27.450980392156865,0,7
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.close,6,7,12,4,4,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.flush,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.deflate,4,4,5,2,2,40.0,40.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.writeLocalFileHeader,23,35,77,19,33,24.675324675324674,42.857142857142854,0,21
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.writeDataDescriptor,5,6,10,3,4,30.0,40.0,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.writeCentralFileHeader,12,16,37,8,12,21.62162162162162,32.432432432432435,0,5
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.writeOut,5,5,14,2,2,14.285714285714285,14.285714285714285,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream.writeVersionNeededToExtractAndGeneralPurposeBits,9,12,18,6,10,33.33333333333333,55.55555555555556,0,1
@@ org.apache.commons.compress.archivers.zip.FallbackZipEncoding.encode,4,4,8,2,2,25.0,25.0,0,1
@@ org.apache.commons.compress.archivers.zip.FallbackZipEncoding.decode,4,4,8,2,2,25.0,25.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveInputStream.getNextZipEntry,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveInputStream.matches,9,11,20,6,12,30.0,60.0,0,2
@@ org.apache.commons.compress.archivers.zip.ZipLong.equals,8,10,10,4,6,40.0,60.0,0,0
@@ org.apache.commons.compress.archivers.zip.AsiExtraField.isLink,5,5,2,2,2,100.0,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.AsiExtraField.isDirectory,6,7,6,3,4,50.0,66.66666666666666,0,0
