@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.csv.CSVParser.getRecords,5,5,6,6,100.0,0,5
@@ org.apache.commons.csv.CSVParser.getRecord,13,19,60,57,95.0,0,2
@@ org.apache.commons.csv.CSVParser.initializeHeader,12,16,33,14,42.42424242424242,0,3
@@ org.apache.commons.csv.Lexer.readEscape,8,12,7,7,100.0,0,1
@@ org.apache.commons.csv.Lexer.trimTrailingSpaces,8,10,21,8,38.095238095238095,0,1
@@ org.apache.commons.csv.Lexer.isWhitespace,6,7,8,8,100.0,0,0
@@ org.apache.commons.csv.Lexer.isEndOfLine,9,12,16,8,50.0,0,1
@@ org.apache.commons.csv.Lexer.isEndOfFile,5,5,2,2,100.0,0,0
@@ org.apache.commons.csv.Lexer.isDelimiter,5,5,6,6,100.0,0,1
@@ org.apache.commons.csv.Lexer.isEscape,6,7,10,10,100.0,0,0
@@ org.apache.commons.csv.Lexer.isEncapsulator,6,7,10,10,100.0,0,1
@@ org.apache.commons.csv.Lexer.isCommentStart,6,7,10,10,100.0,0,1
@@ org.apache.commons.csv.CSVRecord.<init>,5,5,6,6,100.0,0,0
@@ org.apache.commons.csv.CSVRecord.get,7,8,12,12,100.0,0,1
@@ org.apache.commons.csv.CSVParser$1.hasNext,7,8,11,7,63.63636363636363,0,0
@@ org.apache.commons.csv.CSVParser$1.next,5,6,7,7,100.0,0,1
@@ org.apache.commons.csv.CSVLexer.nextToken,30,48,157,53,33.75796178343949,0,3
@@ org.apache.commons.csv.CSVLexer.encapsulatedTokenLexer,18,25,55,55,100.0,0,1
@@ org.apache.commons.csv.ExtendedBufferedReader.read,4,4,6,6,100.0,0,1
@@ org.apache.commons.csv.ExtendedBufferedReader.read,19,26,56,37,66.07142857142857,0,1
@@ org.apache.commons.csv.ExtendedBufferedReader.readLine,7,8,10,10,100.0,0,1
@@ org.apache.commons.csv.CSVFormat.isLineBreak,6,7,4,4,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.validate,14,20,48,48,100.0,0,2
@@ org.apache.commons.csv.CSVFormat.withDelimiter,4,4,11,11,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.withEncapsulator,4,4,11,11,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.isEncapsulating,5,5,4,4,100.0,0,1
@@ org.apache.commons.csv.CSVFormat.withCommentStart,4,4,11,11,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.isCommentingEnabled,5,5,4,4,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.withEscape,4,4,11,11,100.0,0,1
@@ org.apache.commons.csv.CSVFormat.isEscaping,5,5,4,4,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.toString,12,16,22,22,100.0,0,1
@@ org.apache.commons.csv.CSVPrinter.<init>,5,5,5,5,100.0,0,1
@@ org.apache.commons.csv.CSVPrinter.flush,4,4,6,6,100.0,0,0
@@ org.apache.commons.csv.CSVPrinter.println,5,5,11,7,63.63636363636363,0,1
@@ org.apache.commons.csv.CSVPrinter.printComment,15,21,48,31,64.58333333333334,0,1
@@ org.apache.commons.csv.CSVPrinter.print,7,8,21,21,100.0,0,0
@@ org.apache.commons.csv.CSVPrinter.printSep,5,5,8,8,100.0,0,1
@@ org.apache.commons.csv.CSVPrinter.printAndEscape,18,26,65,32,49.23076923076923,0,1
@@ org.apache.commons.csv.CSVPrinter.printAndEncapsulate,32,51,115,67,58.26086956521739,0,2
@@ org.apache.commons.csv.CSVPrinter.print,7,8,11,7,63.63636363636363,0,0
