@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.csv.CSVParser.getRecords,5,5,6,6,100.0,0,6
@@ org.apache.commons.csv.CSVParser.getRecord,13,19,60,47,78.33333333333333,0,2
@@ org.apache.commons.csv.CSVParser.initializeHeader,12,16,33,10,30.303030303030305,0,1
@@ org.apache.commons.csv.Lexer.readEscape,8,12,7,7,100.0,0,1
@@ org.apache.commons.csv.Lexer.trimTrailingSpaces,8,10,21,6,28.57142857142857,0,1
@@ org.apache.commons.csv.Lexer.isWhitespace,6,7,8,4,50.0,0,0
@@ org.apache.commons.csv.Lexer.isEndOfLine,9,12,16,5,31.25,0,1
@@ org.apache.commons.csv.Lexer.isEndOfFile,5,5,2,2,100.0,0,1
@@ org.apache.commons.csv.Lexer.isDelimiter,5,5,6,6,100.0,0,1
@@ org.apache.commons.csv.Lexer.isEscape,6,7,10,5,50.0,0,1
@@ org.apache.commons.csv.Lexer.isEncapsulator,6,7,10,5,50.0,0,0
@@ org.apache.commons.csv.Lexer.isCommentStart,6,7,10,5,50.0,0,0
@@ org.apache.commons.csv.CSVRecord.<init>,5,5,6,6,100.0,0,0
@@ org.apache.commons.csv.CSVRecord.get,7,8,12,12,100.0,0,0
@@ org.apache.commons.csv.CSVParser$1.hasNext,7,8,11,5,45.45454545454545,0,0
@@ org.apache.commons.csv.CSVParser$1.next,5,6,7,3,42.857142857142854,0,0
@@ org.apache.commons.csv.CSVLexer.nextToken,30,48,157,41,26.11464968152866,0,2
@@ org.apache.commons.csv.CSVLexer.encapsulatedTokenLexer,18,25,55,53,96.36363636363636,0,1
@@ org.apache.commons.csv.ExtendedBufferedReader.read,4,4,6,5,83.33333333333334,0,0
@@ org.apache.commons.csv.ExtendedBufferedReader.read,19,26,56,32,57.14285714285714,0,1
@@ org.apache.commons.csv.ExtendedBufferedReader.readLine,7,8,10,9,90.0,0,1
@@ org.apache.commons.csv.CSVFormat.isLineBreak,6,7,4,2,50.0,0,0
@@ org.apache.commons.csv.CSVFormat.validate,14,20,48,38,79.16666666666666,0,1
@@ org.apache.commons.csv.CSVFormat.withDelimiter,4,4,11,11,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.withEncapsulator,4,4,11,11,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.isEncapsulating,5,5,4,4,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.withCommentStart,4,4,11,11,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.isCommentingEnabled,5,5,4,4,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.withEscape,4,4,11,11,100.0,0,1
@@ org.apache.commons.csv.CSVFormat.isEscaping,5,5,4,4,100.0,0,0
@@ org.apache.commons.csv.CSVFormat.toString,12,16,22,17,77.27272727272727,0,1
@@ org.apache.commons.csv.CSVPrinter.<init>,5,5,5,5,100.0,0,0
@@ org.apache.commons.csv.CSVPrinter.flush,4,4,6,4,66.66666666666666,0,0
@@ org.apache.commons.csv.CSVPrinter.println,5,5,11,7,63.63636363636363,0,1
@@ org.apache.commons.csv.CSVPrinter.printComment,15,21,48,26,54.166666666666664,0,1
@@ org.apache.commons.csv.CSVPrinter.print,7,8,21,21,100.0,0,1
@@ org.apache.commons.csv.CSVPrinter.printSep,5,5,8,8,100.0,0,1
@@ org.apache.commons.csv.CSVPrinter.printAndEscape,18,26,65,22,33.84615384615385,0,1
@@ org.apache.commons.csv.CSVPrinter.printAndEncapsulate,32,51,115,46,40.0,0,5
@@ org.apache.commons.csv.CSVPrinter.print,7,8,11,6,54.54545454545454,0,1
