@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ com.google.gson.JsonStreamParser.next,4,4,4,4,100.0,0,5
@@ com.google.gson.JsonStreamParser.hasNext,5,5,6,6,100.0,0,1
@@ com.google.gson.TypeUtils.getActualTypeForFirstTypeVariable,8,10,9,9,100.0,0,1
@@ com.google.gson.TypeUtils.isArray,6,7,5,5,100.0,0,1
@@ com.google.gson.TypeUtils.toRawClass,10,13,13,13,100.0,0,1
@@ com.google.gson.VersionExclusionStrategy.<init>,5,5,4,4,100.0,0,0
@@ com.google.gson.VersionExclusionStrategy.shouldSkipField,5,5,4,4,100.0,0,1
@@ com.google.gson.VersionExclusionStrategy.shouldSkipClass,5,5,4,4,100.0,0,1
@@ com.google.gson.VersionExclusionStrategy.isValidVersion,6,7,8,8,100.0,0,1
@@ com.google.gson.VersionExclusionStrategy.isValidSince,5,6,9,9,100.0,0,0
@@ com.google.gson.VersionExclusionStrategy.isValidUntil,5,6,9,9,100.0,0,1
@@ com.google.gson.TypeInfo.isCollectionOrArray,6,7,6,6,100.0,0,0
@@ com.google.gson.GenericArrayTypeImpl.equals,9,11,12,12,100.0,0,0
@@ com.google.gson.GenericArrayTypeImpl.hashCode,5,5,6,6,100.0,0,0
@@ com.google.gson.Gson.createExclusionStrategy,4,4,5,5,100.0,0,0
@@ com.google.gson.Gson.toJsonTree,4,4,4,4,100.0,0,1
@@ com.google.gson.Gson.toJsonTree,4,4,8,8,100.0,0,0
@@ com.google.gson.Gson.toJson,7,8,8,8,100.0,0,1
@@ com.google.gson.Gson.toJson,6,7,11,11,100.0,0,1
@@ com.google.gson.Gson.toJson,6,7,14,14,100.0,0,0
@@ com.google.gson.Gson.fromJson,4,4,5,5,100.0,0,0
@@ com.google.gson.Gson.fromJson,4,4,8,8,100.0,0,0
@@ com.google.gson.TypeInfoArray.<init>,5,5,11,5,45.45454545454545,0,0
@@ com.google.gson.TypeInfoArray.extractSecondLevelType,5,5,4,4,100.0,0,0
@@ com.google.gson.DefaultTypeAdapters$DefaultTimeTypeAdapter.deserialize,4,4,5,5,100.0,0,0
@@ com.google.gson.DisjunctionExclusionStrategy.shouldSkipField,7,8,7,7,100.0,0,0
@@ com.google.gson.DisjunctionExclusionStrategy.shouldSkipClass,7,8,7,7,100.0,0,1
@@ com.google.gson.ParameterizedTypeHandlerMap.registerForTypeHierarchy,8,10,29,29,100.0,0,1
@@ com.google.gson.ParameterizedTypeHandlerMap.getIndexOfAnOverriddenHandler,7,8,18,11,61.111111111111114,0,0
@@ com.google.gson.ParameterizedTypeHandlerMap.register,6,7,15,15,100.0,0,0
@@ com.google.gson.ParameterizedTypeHandlerMap.registerIfAbsent,14,18,34,29,85.29411764705883,0,1
@@ com.google.gson.ParameterizedTypeHandlerMap.registerIfAbsent,6,7,13,13,100.0,0,1
@@ com.google.gson.ParameterizedTypeHandlerMap.getHandlerFor,7,9,18,12,66.66666666666666,0,0
