@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ com.fasterxml.jackson.core.JsonFactory$Feature.collectDefaults,7,8,18,10,55.55555555555556,0,8
@@ com.fasterxml.jackson.core.JsonFactory$Feature.enabledIn,5,5,4,4,100.0,0,1
@@ com.fasterxml.jackson.core.JsonLocation.toString,5,5,12,12,100.0,0,0
@@ com.fasterxml.jackson.core.JsonLocation.hashCode,5,5,10,10,100.0,0,1
@@ com.fasterxml.jackson.core.JsonLocation.equals,19,28,53,53,100.0,0,2
@@ com.fasterxml.jackson.core.JsonToken.<init>,7,8,16,12,75.0,0,0
@@ com.fasterxml.jackson.core.JsonToken.isNumeric,6,7,8,8,100.0,0,0
@@ com.fasterxml.jackson.core.JsonToken.isScalarValue,5,5,4,4,100.0,0,1
@@ com.fasterxml.jackson.core.Version.<init>,8,9,8,8,100.0,0,1
@@ com.fasterxml.jackson.core.Version.isUknownVersion,5,5,4,4,100.0,0,1
@@ com.fasterxml.jackson.core.Version.isSnapshot,6,7,8,8,100.0,0,1
@@ com.fasterxml.jackson.core.Version.toString,4,4,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.Version.equals,15,22,51,51,100.0,0,1
@@ com.fasterxml.jackson.core.Version.compareTo,9,13,37,36,97.2972972972973,0,1
@@ com.fasterxml.jackson.core.Base64Variants.valueOf,13,17,33,31,93.93939393939394,0,1
@@ com.fasterxml.jackson.core.JsonStreamContext.inArray,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.JsonStreamContext.inRoot,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.JsonStreamContext.inObject,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.JsonStreamContext.getTypeDesc,6,8,8,8,100.0,0,1
@@ com.fasterxml.jackson.core.JsonStreamContext.getCurrentIndex,5,5,6,6,100.0,0,1
@@ com.fasterxml.jackson.core.JsonGenerator.configure,5,5,7,7,100.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant.<init>,9,11,25,21,84.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.usesPaddingChar,5,5,6,6,100.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.usesPaddingChar,5,5,6,6,100.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.decodeBase64Char,5,5,5,5,100.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.decodeBase64Char,5,5,5,5,100.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.decodeBase64Byte,5,5,5,5,100.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant.encodeBase64Partial,9,11,23,21,91.30434782608695,0,1
@@ com.fasterxml.jackson.core.Base64Variant.encodeBase64Partial,9,11,15,15,100.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant.encodeBase64Partial,9,11,25,23,92.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant.encode,15,20,45,34,75.55555555555556,0,1
@@ com.fasterxml.jackson.core.Base64Variant.decode,35,50,98,91,92.85714285714286,0,3
@@ com.fasterxml.jackson.core.Base64Variant.equals,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant._reportInvalidBase64,12,16,28,19,67.85714285714286,0,1
@@ com.fasterxml.jackson.core.JsonProcessingException.<init>,4,4,6,6,100.0,0,1
@@ com.fasterxml.jackson.core.JsonProcessingException.getMessage,11,15,21,16,76.19047619047619,0,1
@@ com.fasterxml.jackson.core.JsonFactory._checkInvalidCopy,4,4,5,5,100.0,0,1
@@ com.fasterxml.jackson.core.JsonFactory.canUseSchema,6,7,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.JsonFactory.getFormatName,4,4,2,2,100.0,0,1
@@ com.fasterxml.jackson.core.JsonFactory.hasFormat,4,4,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.JsonFactory.configure,5,5,4,4,100.0,0,1
@@ com.fasterxml.jackson.core.JsonFactory.isEnabled,5,5,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.JsonFactory.configure,5,5,4,4,100.0,0,1
@@ com.fasterxml.jackson.core.JsonFactory.isEnabled,5,5,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.JsonFactory.configure,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.JsonFactory.isEnabled,5,5,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.JsonFactory.setRootValueSeparator,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.JsonFactory.getRootValueSeparator,5,5,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.JsonFactory.createParser,4,4,12,11,91.66666666666666,0,0
@@ com.fasterxml.jackson.core.JsonFactory.createParser,4,4,12,11,91.66666666666666,0,0
@@ com.fasterxml.jackson.core.JsonFactory.createParser,4,4,12,11,91.66666666666666,0,0
@@ com.fasterxml.jackson.core.JsonFactory.createParser,4,4,12,11,91.66666666666666,0,1
@@ com.fasterxml.jackson.core.JsonFactory.createParser,5,6,16,16,100.0,0,1
@@ com.fasterxml.jackson.core.JsonFactory.createParser,5,6,20,20,100.0,0,0
@@ com.fasterxml.jackson.core.JsonFactory.createParser,4,4,12,11,91.66666666666666,0,0
@@ com.fasterxml.jackson.core.JsonFactory.createGenerator,8,10,32,30,93.75,0,1
@@ com.fasterxml.jackson.core.JsonFactory.createGenerator,4,4,12,11,91.66666666666666,0,0
@@ com.fasterxml.jackson.core.JsonFactory.createGenerator,8,10,32,30,93.75,0,1
@@ com.fasterxml.jackson.core.JsonFactory._createGenerator,6,7,16,16,100.0,0,1
@@ com.fasterxml.jackson.core.JsonFactory._createUTF8Generator,6,7,16,16,100.0,0,0
@@ com.fasterxml.jackson.core.JsonFactory._createWriter,4,4,8,8,100.0,0,1
@@ com.fasterxml.jackson.core.JsonFactory._getBufferRecycler,7,8,8,7,87.5,0,1
@@ com.fasterxml.jackson.core.JsonFactory._optimizedStreamFromURL,7,10,12,12,100.0,0,0
@@ com.fasterxml.jackson.core.JsonGenerator$Feature.collectDefaults,7,8,18,10,55.55555555555556,0,1
@@ com.fasterxml.jackson.core.JsonParser$Feature.collectDefaults,7,8,18,10,55.55555555555556,0,0
@@ com.fasterxml.jackson.core.JsonParser.configure,5,5,7,7,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.isEnabled,5,5,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.nextFieldName,6,7,8,8,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.nextTextValue,5,5,5,5,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.nextIntValue,5,5,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.nextLongValue,5,5,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.nextBooleanValue,5,6,8,8,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.isExpectedStartArrayToken,5,5,4,4,100.0,0,1
@@ com.fasterxml.jackson.core.JsonParser.getByteValue,5,6,6,6,100.0,0,1
@@ com.fasterxml.jackson.core.JsonParser.getShortValue,5,6,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.getBooleanValue,6,7,10,10,100.0,0,1
@@ com.fasterxml.jackson.core.JsonParser.readValueAs,4,4,5,5,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.readValueAs,4,4,5,5,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.readValuesAs,4,4,5,5,100.0,0,0
@@ com.fasterxml.jackson.core.JsonParser.readValuesAs,4,4,5,5,100.0,0,1
@@ com.fasterxml.jackson.core.JsonParser.readValueAsTree,4,4,4,4,100.0,0,1
@@ com.fasterxml.jackson.core.sym.Name3.equals,8,11,20,20,100.0,0,0
@@ com.fasterxml.jackson.core.sym.NameN.<init>,4,4,5,5,100.0,0,0
@@ com.fasterxml.jackson.core.sym.NameN.equals,9,11,24,17,70.83333333333334,0,0
@@ com.fasterxml.jackson.core.sym.Name1.equals,5,5,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.sym.Name1.equals,6,7,8,8,100.0,0,0
@@ com.fasterxml.jackson.core.sym.Name1.equals,6,7,8,8,100.0,0,1
@@ com.fasterxml.jackson.core.sym.Name2.equals,6,7,12,12,100.0,0,0
@@ com.fasterxml.jackson.core.sym.Name2.equals,7,9,14,14,100.0,0,0
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$Bucket.<init>,5,5,5,5,100.0,0,0
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$Bucket.find,11,15,40,33,82.5,0,1
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$Bucket.find,11,15,40,33,82.5,0,1
@@ com.fasterxml.jackson.core.sym.Name.equals,5,5,4,4,100.0,0,1
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.<init>,9,11,18,10,55.55555555555556,0,1
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.release,5,6,8,8,100.0,0,0
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.mergeChild,7,9,18,17,94.44444444444444,0,0
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.size,4,4,8,8,100.0,0,1
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.maybeDirty,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.findName,13,18,27,27,100.0,0,0
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.findName,16,22,37,37,100.0,0,1
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.findName,17,24,41,41,100.0,0,1
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.addName,7,8,13,11,84.61538461538461,0,0
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.addName,10,12,22,18,81.81818181818183,0,1
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.calcHash,7,8,18,11,61.111111111111114,0,0
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.calcQuads,9,12,39,34,87.17948717948718,0,1
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer._addSymbol,26,37,104,96,92.3076923076923,0,1
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.rehash,29,39,129,87,67.44186046511628,0,2
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.findBestBucket,9,11,26,12,46.15384615384615,0,0
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.unshareCollision,5,5,6,6,100.0,0,1
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.constructName,4,4,9,9,100.0,0,0
@@ com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer.constructName,10,14,30,26,86.66666666666667,0,0
@@ com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket.<init>,5,5,5,5,100.0,0,0
@@ com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket.find,12,16,38,16,42.10526315789473,0,1
@@ com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.mergeChild,8,10,19,19,100.0,0,0
@@ com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.release,6,7,8,8,100.0,0,0
