@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ com.fasterxml.jackson.core.JsonFactory$Feature.collectDefaults,7,8,18,9,50.0,0,7
@@ com.fasterxml.jackson.core.JsonFactory$Feature.enabledIn,5,5,4,4,100.0,0,1
@@ com.fasterxml.jackson.core.JsonLocation.toString,5,5,12,12,100.0,0,1
@@ com.fasterxml.jackson.core.JsonLocation.hashCode,5,5,10,10,100.0,0,1
@@ com.fasterxml.jackson.core.JsonLocation.equals,19,28,53,33,62.264150943396224,0,2
@@ com.fasterxml.jackson.core.JsonToken.<init>,7,8,16,11,68.75,0,1
@@ com.fasterxml.jackson.core.JsonToken.isNumeric,6,7,8,4,50.0,0,1
@@ com.fasterxml.jackson.core.JsonToken.isScalarValue,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.Version.<init>,8,9,8,8,100.0,0,1
@@ com.fasterxml.jackson.core.Version.isUknownVersion,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.Version.isSnapshot,6,7,8,4,50.0,0,0
@@ com.fasterxml.jackson.core.Version.toString,4,4,6,5,83.33333333333334,0,1
@@ com.fasterxml.jackson.core.Version.equals,15,22,51,31,60.78431372549019,0,1
@@ com.fasterxml.jackson.core.Version.compareTo,9,13,37,28,75.67567567567568,0,1
@@ com.fasterxml.jackson.core.Base64Variants.valueOf,13,17,33,31,93.93939393939394,0,2
@@ com.fasterxml.jackson.core.JsonStreamContext.inArray,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.JsonStreamContext.inRoot,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.JsonStreamContext.inObject,5,5,4,4,100.0,0,1
@@ com.fasterxml.jackson.core.JsonStreamContext.getTypeDesc,6,8,8,8,100.0,0,0
@@ com.fasterxml.jackson.core.JsonStreamContext.getCurrentIndex,5,5,6,6,100.0,0,1
@@ com.fasterxml.jackson.core.JsonGenerator.configure,5,5,7,7,100.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant.<init>,9,11,25,20,80.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.usesPaddingChar,5,5,6,6,100.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant.usesPaddingChar,5,5,6,6,100.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.decodeBase64Char,5,5,5,5,100.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant.decodeBase64Char,5,5,5,5,100.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.decodeBase64Byte,5,5,5,5,100.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant.encodeBase64Partial,9,11,23,19,82.6086956521739,0,2
@@ com.fasterxml.jackson.core.Base64Variant.encodeBase64Partial,9,11,15,14,93.33333333333333,0,1
@@ com.fasterxml.jackson.core.Base64Variant.encodeBase64Partial,9,11,25,21,84.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.encode,15,20,45,28,62.22222222222222,0,1
@@ com.fasterxml.jackson.core.Base64Variant.decode,35,50,98,74,75.51020408163265,0,3
@@ com.fasterxml.jackson.core.Base64Variant.equals,5,5,4,4,100.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant._reportInvalidBase64,12,16,28,16,57.14285714285714,0,1
