@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ com.fasterxml.jackson.databind.ObjectReader.<init>,5,6,9,3,5,33.33333333333333,55.55555555555556,0,15
@@ com.fasterxml.jackson.databind.ObjectReader.<init>,5,6,9,3,5,33.33333333333333,55.55555555555556,0,4
@@ com.fasterxml.jackson.databind.ObjectReader.with,4,4,15,2,2,13.333333333333334,13.333333333333334,0,5
@@ com.fasterxml.jackson.databind.ObjectReader.with,6,7,14,3,4,21.428571428571427,28.57142857142857,0,5
@@ com.fasterxml.jackson.databind.ObjectReader.with,4,4,15,2,2,13.333333333333334,13.333333333333334,0,4
@@ com.fasterxml.jackson.databind.ObjectReader.withType,7,9,26,5,7,19.230769230769234,26.923076923076923,0,10
@@ com.fasterxml.jackson.databind.ObjectReader.withValueToUpdate,9,11,27,4,6,14.814814814814813,22.22222222222222,0,13
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,11,2,2,18.181818181818183,18.181818181818183,0,2
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,10,2,3,20.0,30.0,0,2
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,10,2,3,20.0,30.0,0,2
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,10,2,2,20.0,20.0,0,2
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,14,2,2,14.285714285714285,14.285714285714285,0,2
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,11,2,2,18.181818181818183,18.181818181818183,0,2
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,11,2,2,18.181818181818183,18.181818181818183,0,2
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,9,2,3,22.22222222222222,33.33333333333333,0,2
@@ com.fasterxml.jackson.databind.ObjectReader.readTree,4,4,9,2,2,22.22222222222222,22.22222222222222,0,0
@@ com.fasterxml.jackson.databind.ObjectReader.readTree,4,4,9,2,3,22.22222222222222,33.33333333333333,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.readTree,4,4,9,2,3,22.22222222222222,33.33333333333333,0,1
