@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ com.fasterxml.jackson.databind.ObjectReader.<init>,5,6,9,7,77.77777777777779,0,8
@@ com.fasterxml.jackson.databind.ObjectReader.<init>,5,6,9,7,77.77777777777779,0,0
@@ com.fasterxml.jackson.databind.ObjectReader.with,4,4,15,15,100.0,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.with,6,7,14,13,92.85714285714286,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.with,4,4,15,15,100.0,0,0
@@ com.fasterxml.jackson.databind.ObjectReader.withType,7,9,26,19,73.07692307692307,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.withValueToUpdate,9,11,27,25,92.5925925925926,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,11,11,100.0,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,10,8,80.0,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,10,8,80.0,0,0
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,10,10,100.0,0,0
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,14,14,100.0,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,11,11,100.0,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,11,11,100.0,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.readValue,4,4,9,7,77.77777777777779,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.readTree,4,4,9,9,100.0,0,0
@@ com.fasterxml.jackson.databind.ObjectReader.readTree,4,4,9,7,77.77777777777779,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.readTree,4,4,9,7,77.77777777777779,0,1
@@ com.fasterxml.jackson.databind.ObjectReader.readValues,4,4,11,11,100.0,0,0
@@ com.fasterxml.jackson.databind.ObjectReader.readValues,6,7,21,17,80.95238095238095,0,0
@@ com.fasterxml.jackson.databind.ObjectReader.readValues,6,7,21,17,80.95238095238095,0,1
