@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.<init>,12,15,18,6,8,33.33333333333333,44.44444444444444,0,28
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.findNamespace,8,10,18,5,8,27.77777777777778,44.44444444444444,0,16
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsAttribute,8,10,18,5,8,27.77777777777778,44.44444444444444,0,13
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsText,8,10,18,5,8,27.77777777777778,44.44444444444444,0,9
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsCData,8,10,18,5,8,27.77777777777778,44.44444444444444,0,17
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.setDefaultUseWrapper,6,7,14,4,4,28.57142857142857,28.57142857142857,0,6
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setupModule,4,4,9,2,3,22.22222222222222,33.33333333333333,0,4
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.<init>,6,7,9,4,5,44.44444444444444,55.55555555555556,0,3
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.readResolve,6,7,15,3,4,20.0,26.666666666666668,0,8
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.configure,5,5,7,2,3,28.57142857142857,42.857142857142854,0,8
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.isEnabled,5,5,6,2,2,33.33333333333333,33.33333333333333,0,6
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.configure,5,5,7,2,3,28.57142857142857,42.857142857142854,0,6
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.isEnabled,5,5,6,2,2,33.33333333333333,33.33333333333333,0,6
