@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.jsoup.DataUtil.load,11,15,18,18,100.0,0,7
@@ org.jsoup.DataUtil.readInputStream,6,7,10,10,100.0,0,1
@@ org.jsoup.nodes.Attributes.get,5,5,3,3,100.0,0,1
@@ org.jsoup.nodes.Attributes.asList,5,5,5,5,100.0,0,0
@@ org.jsoup.nodes.Attributes.html,5,5,5,5,100.0,0,0
@@ org.jsoup.nodes.Attributes.equals,11,15,23,23,100.0,0,2
@@ org.jsoup.nodes.Attributes.hashCode,5,5,6,6,100.0,0,1
@@ org.jsoup.nodes.Evaluator$IndexGreaterThan.matches,5,5,6,6,100.0,0,0
@@ org.jsoup.nodes.TextNode.outerHtml,10,15,22,20,90.9090909090909,0,1
@@ org.jsoup.nodes.TextNode.lastCharIsWhitespace,7,8,6,6,100.0,0,1
@@ org.jsoup.nodes.Element.id,5,5,3,3,100.0,0,0
@@ org.jsoup.nodes.Element.children,7,8,8,8,100.0,0,1
@@ org.jsoup.nodes.Element.append,5,5,5,5,100.0,0,0
@@ org.jsoup.nodes.Element.prepend,5,5,9,5,55.55555555555556,0,0
@@ org.jsoup.nodes.Element.wrap,8,10,18,14,77.77777777777779,0,1
@@ org.jsoup.nodes.Element.getDeepChild,4,4,5,5,100.0,0,0
@@ org.jsoup.nodes.Element.nextElementSibling,4,4,6,6,100.0,0,1
@@ org.jsoup.nodes.Element.previousElementSibling,4,4,4,4,100.0,0,1
@@ org.jsoup.nodes.Element.firstElementSibling,5,5,3,3,100.0,0,0
@@ org.jsoup.nodes.Element.elementSiblingIndex,4,4,3,3,100.0,0,1
@@ org.jsoup.nodes.Element.lastElementSibling,5,5,3,3,100.0,0,1
@@ org.jsoup.nodes.Element.getElementById,4,4,3,3,100.0,0,1
@@ org.jsoup.nodes.Element.text,16,23,28,27,96.42857142857143,0,1
@@ org.jsoup.nodes.Element.preserveWhitespace,7,9,8,8,100.0,0,1
@@ org.jsoup.nodes.Element.hasText,12,16,13,13,100.0,0,1
@@ org.jsoup.nodes.Element.data,9,11,12,12,100.0,0,1
@@ org.jsoup.nodes.Element.className,5,5,6,6,100.0,0,0
@@ org.jsoup.nodes.Element.classNames,4,4,8,7,87.5,0,0
@@ org.jsoup.nodes.Element.toggleClass,5,5,10,10,100.0,0,1
@@ org.jsoup.nodes.Element.val,4,4,4,4,100.0,0,0
@@ org.jsoup.nodes.Element.val,5,5,7,7,100.0,0,0
@@ org.jsoup.nodes.Element.outerHtml,13,19,32,32,100.0,0,1
@@ org.jsoup.nodes.Element.html,5,5,4,4,100.0,0,0
@@ org.jsoup.nodes.Element.equals,13,18,27,27,100.0,0,1
@@ org.jsoup.nodes.Element.hashCode,5,5,5,5,100.0,0,0
@@ org.jsoup.nodes.Evaluator$IndexLessThan.matches,5,5,6,6,100.0,0,0
@@ org.jsoup.nodes.XmlDeclaration.outerHtml,5,5,6,6,100.0,0,1
@@ org.jsoup.nodes.Evaluator$AttributeWithValueNot.matches,5,5,8,8,100.0,0,0
@@ org.jsoup.nodes.Evaluator$IndexEquals.matches,5,5,6,6,100.0,0,1
@@ org.jsoup.nodes.Document.title,5,5,3,3,100.0,0,0
@@ org.jsoup.nodes.Document.title,5,5,6,6,100.0,0,0
@@ org.jsoup.nodes.Document.normalise,8,10,10,10,100.0,0,1
@@ org.jsoup.nodes.Document.normalise,11,14,16,16,100.0,0,1
@@ org.jsoup.nodes.Attribute.equals,16,23,39,39,100.0,0,1
@@ org.jsoup.nodes.Attribute.hashCode,8,9,11,11,100.0,0,1
@@ org.jsoup.nodes.Node.attr,6,7,11,11,100.0,0,1
@@ org.jsoup.nodes.Node.absUrl,4,4,7,7,100.0,0,0
@@ org.jsoup.nodes.Node.setParentNode,4,4,6,6,100.0,0,0
@@ org.jsoup.nodes.Node.replaceChild,7,8,17,17,100.0,0,0
@@ org.jsoup.nodes.Node.removeChild,5,5,9,9,100.0,0,1
@@ org.jsoup.nodes.Node.addChild,4,4,9,9,100.0,0,1
@@ org.jsoup.nodes.Node.nodeDepth,4,4,6,6,100.0,0,0
@@ org.jsoup.nodes.Node.nextSibling,4,4,6,6,100.0,0,0
@@ org.jsoup.nodes.Node.previousSibling,4,4,4,4,100.0,0,0
@@ org.jsoup.nodes.Node.indexInList,7,8,17,10,58.82352941176471,0,0
@@ org.jsoup.nodes.Node.equals,4,4,4,4,100.0,0,1
@@ org.jsoup.nodes.Node.hashCode,8,9,11,11,100.0,0,0
@@ org.jsoup.parser.TokenQueue.<init>,5,5,11,7,63.63636363636363,0,1
@@ org.jsoup.parser.TokenQueue.addFirst,5,5,8,4,50.0,0,0
@@ org.jsoup.parser.TokenQueue.matches,9,11,26,21,80.76923076923077,0,0
@@ org.jsoup.parser.TokenQueue.matchesAny,7,8,15,10,66.66666666666666,0,1
@@ org.jsoup.parser.TokenQueue.matchChomp,4,4,6,6,100.0,0,0
@@ org.jsoup.parser.TokenQueue.matchesWhitespace,6,7,8,8,100.0,0,0
@@ org.jsoup.parser.TokenQueue.matchesWord,6,7,8,8,100.0,0,0
