@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.apache.commons.jxpath.JXPathContext.getContextFactory,4,4,4,2,2,50.0,50.0,0,11
@@ org.apache.commons.jxpath.JXPathContext.getVariables,4,4,8,2,3,25.0,37.5,0,4
@@ org.apache.commons.jxpath.JXPathContext.getFunctions,6,7,11,3,4,27.27272727272727,36.36363636363637,0,6
@@ org.apache.commons.jxpath.JXPathContext.getFactory,5,6,12,3,5,25.0,41.66666666666667,0,4
@@ org.apache.commons.jxpath.JXPathContext.getLocale,6,7,14,3,5,21.428571428571427,35.714285714285715,0,6
@@ org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols,4,4,10,2,3,20.0,30.0,0,5
@@ org.apache.commons.jxpath.JXPathContext.getDecimalFormatSymbols,6,7,14,3,4,21.428571428571427,28.57142857142857,0,5
@@ org.apache.commons.jxpath.JXPathContext.isLenient,5,6,12,3,5,25.0,41.66666666666667,0,3
@@ org.apache.commons.jxpath.JXPathContext.compile,4,4,5,2,3,40.0,60.0,0,1
@@ org.apache.commons.jxpath.JXPathContext.selectSingleNode,4,4,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.apache.commons.jxpath.JXPathContext.selectNodes,5,5,5,1,2,20.0,40.0,0,2
@@ org.apache.commons.jxpath.JXPathContext.getIdentityManager,5,6,12,3,5,25.0,41.66666666666667,0,7
@@ org.apache.commons.jxpath.JXPathContext.getPointerByID,4,4,5,2,2,40.0,40.0,0,1
@@ org.apache.commons.jxpath.JXPathContext.getKeyManager,5,6,12,3,5,25.0,41.66666666666667,0,3
@@ org.apache.commons.jxpath.JXPathContext.getPointerByKey,4,4,6,2,2,33.33333333333333,33.33333333333333,0,2
@@ org.apache.commons.jxpath.MapDynamicPropertyHandler.getPropertyNames,5,5,11,2,4,18.181818181818183,36.36363636363637,0,6
@@ org.apache.commons.jxpath.JXPathException.getMessage,10,13,25,5,8,20.0,32.0,0,7
@@ org.apache.commons.jxpath.BasicNodeSet.getPointers,4,4,9,2,3,22.22222222222222,33.33333333333333,0,2
@@ org.apache.commons.jxpath.BasicNodeSet.getNodes,7,8,23,3,6,13.043478260869565,26.08695652173913,0,9
@@ org.apache.commons.jxpath.BasicNodeSet.getValues,7,8,23,3,6,13.043478260869565,26.08695652173913,0,6
