@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.lang3.CharUtils.toCharacterObject,4,4,3,3,100.0,0,7
@@ org.apache.commons.lang3.CharUtils.toChar,4,4,3,3,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.toChar,4,4,4,4,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.toChar,4,4,3,3,100.0,0,0
@@ org.apache.commons.lang3.CharUtils.toChar,4,4,4,4,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.toIntValue,4,4,4,4,100.0,0,2
@@ org.apache.commons.lang3.CharUtils.toIntValue,4,4,4,4,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.toIntValue,4,4,3,3,100.0,0,0
@@ org.apache.commons.lang3.CharUtils.toIntValue,4,4,5,5,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.toString,4,4,5,5,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.toString,4,4,3,3,100.0,0,0
@@ org.apache.commons.lang3.CharUtils.unicodeEscaped,8,10,10,10,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.unicodeEscaped,4,4,3,3,100.0,0,0
@@ org.apache.commons.lang3.CharUtils.isAscii,5,5,2,2,100.0,0,0
@@ org.apache.commons.lang3.CharUtils.isAsciiPrintable,6,7,4,4,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.isAsciiControl,6,7,4,4,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.isAsciiAlpha,8,11,8,8,100.0,0,0
@@ org.apache.commons.lang3.CharUtils.isAsciiAlphaUpper,6,7,4,4,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.isAsciiAlphaLower,6,7,4,4,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.isAsciiNumeric,6,7,4,4,100.0,0,1
@@ org.apache.commons.lang3.CharUtils.isAsciiAlphanumeric,10,15,12,12,100.0,0,1
@@ org.apache.commons.lang3.BitField.<init>,5,6,13,7,53.84615384615385,0,1
@@ org.apache.commons.lang3.BitField.isSet,5,5,6,6,100.0,0,1
@@ org.apache.commons.lang3.BitField.isAllSet,5,5,6,6,100.0,0,0
@@ org.apache.commons.lang3.BitField.setBoolean,5,5,4,4,100.0,0,1
@@ org.apache.commons.lang3.BitField.setShortBoolean,5,5,4,4,100.0,0,0
@@ org.apache.commons.lang3.BitField.setByteBoolean,5,5,4,4,100.0,0,0
@@ org.apache.commons.lang3.StringEscapeUtils$CsvUnescaper.translate,10,13,19,19,100.0,0,1
@@ org.apache.commons.lang3.ClassUtils.getShortClassName,4,4,4,4,100.0,0,1
@@ org.apache.commons.lang3.ClassUtils.getShortClassName,4,4,3,3,100.0,0,1
@@ org.apache.commons.lang3.ClassUtils.getShortClassName,17,24,50,19,38.0,0,1
@@ org.apache.commons.lang3.ClassUtils.getSimpleName,4,4,3,3,100.0,0,0
@@ org.apache.commons.lang3.ClassUtils.getSimpleName,4,4,4,4,100.0,0,0
@@ org.apache.commons.lang3.ClassUtils.getPackageName,4,4,4,4,100.0,0,1
@@ org.apache.commons.lang3.ClassUtils.getPackageName,4,4,3,3,100.0,0,1
@@ org.apache.commons.lang3.ClassUtils.getPackageName,11,15,27,7,25.925925925925924,0,1
@@ org.apache.commons.lang3.ClassUtils.getAllSuperclasses,7,8,11,7,63.63636363636363,0,0
@@ org.apache.commons.lang3.ClassUtils.getAllInterfaces,4,4,3,3,100.0,0,1
@@ org.apache.commons.lang3.ClassUtils.convertClassNamesToClasses,7,8,8,8,100.0,0,1
@@ org.apache.commons.lang3.ClassUtils.convertClassesToClassNames,10,12,12,12,100.0,0,1
@@ org.apache.commons.lang3.ClassUtils.isAssignable,13,17,34,15,44.11764705882353,0,1
@@ org.apache.commons.lang3.ClassUtils.isPrimitiveOrWrapper,8,10,6,6,100.0,0,0
