@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.math3.primes.PollardRho.primeFactors,6,7,9,9,100.0,0,10
@@ org.apache.commons.math3.primes.PollardRho.rhoBrent,17,22,75,32,42.66666666666667,0,8
@@ org.apache.commons.math3.primes.PollardRho.gcdPositive,9,11,23,13,56.52173913043478,0,1
@@ org.apache.commons.math3.primes.SmallPrimes.smallTrialDivision,8,9,23,12,52.17391304347826,0,1
@@ org.apache.commons.math3.primes.SmallPrimes.boundedTrialDivision,11,14,39,18,46.15384615384615,0,1
@@ org.apache.commons.math3.primes.SmallPrimes.trialDivision,4,4,5,5,100.0,0,0
@@ org.apache.commons.math3.primes.SmallPrimes.millerRabinPrimeTest,21,30,58,33,56.896551724137936,0,5
@@ org.apache.commons.math3.primes.Primes.isPrime,12,15,23,18,78.26086956521739,0,1
@@ org.apache.commons.math3.primes.Primes.nextPrime,18,25,39,23,58.97435897435898,0,1
@@ org.apache.commons.math3.primes.Primes.primeFactors,4,4,5,5,100.0,0,1
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction.<init>,5,5,7,6,85.71428571428571,0,0
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction$1.value,5,5,13,9,69.23076923076923,0,1
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.<init>,6,7,8,8,100.0,0,0
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.findMaxY,7,8,22,7,31.818181818181817,0,0
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.interpolateXAtY,8,10,20,20,100.0,0,1
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.getInterpolationPointsForY,14,19,41,31,75.60975609756098,0,1
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.isBetween,8,11,16,16,100.0,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.<init>,6,7,8,8,100.0,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.findMaxY,7,8,22,7,31.818181818181817,0,3
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.interpolateXAtY,8,10,20,20,100.0,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.getInterpolationPointsForY,14,19,41,31,75.60975609756098,0,0
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.isBetween,8,11,16,16,100.0,0,1
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction$2.value,5,5,13,9,69.23076923076923,0,0
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser$1.compare,21,30,32,32,100.0,0,1
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser$1.compare,21,30,32,32,100.0,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter.getOptimizer,8,9,20,19,95.0,0,1
@@ org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$2.value,5,5,10,9,90.0,0,0
@@ org.apache.commons.math3.fitting.CurveFitter.fit,5,5,14,13,92.85714285714286,0,1
@@ org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$1.value,5,5,10,9,90.0,0,1
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.<init>,4,4,6,6,100.0,0,1
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.sortObservations,12,16,47,26,55.319148936170215,0,1
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.guessAOmega,20,27,89,51,57.30337078651685,0,2
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.guessPhi,5,5,23,11,47.82608695652174,0,0
@@ org.apache.commons.math3.fitting.leastsquares.GaussNewtonOptimizer.doOptimize,35,47,111,81,72.97297297297297,0,3
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.<init>,14,17,30,30,100.0,0,1
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.getTarget,5,5,6,6,100.0,0,0
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.getStart,5,5,6,6,100.0,0,0
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.getWeightSquareRoot,5,5,6,6,100.0,0,0
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.computeSigma,5,5,11,7,63.63636363636363,0,0
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.computeResiduals,7,8,26,22,84.61538461538461,0,1
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.squareRoot,7,8,15,11,73.33333333333333,0,0
