@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.mockito.MockitoAnnotations.initMocks,7,9,15,4,7,26.666666666666668,46.666666666666664,0,23
@@ org.mockito.MockitoAnnotations.scanDeprecatedWay,5,5,2,1,1,50.0,50.0,0,1
@@ org.mockito.MockitoAnnotations.processAnnotationDeprecatedWay,7,8,9,2,4,22.22222222222222,44.44444444444444,0,11
@@ org.mockito.MockitoAnnotations.throwIfAlreadyAssigned,4,4,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.mockito.internal.MockitoCore.mock,4,4,8,2,2,25.0,25.0,0,1
@@ org.mockito.internal.MockitoCore.stub,4,4,6,2,3,33.33333333333333,50.0,0,2
@@ org.mockito.internal.MockitoCore.verify,6,7,17,3,5,17.647058823529413,29.411764705882355,0,4
@@ org.mockito.internal.MockitoCore.reset,5,5,2,1,1,50.0,50.0,0,1
@@ org.mockito.internal.MockitoCore.verifyNoMoreInteractions,7,8,7,2,3,28.57142857142857,42.857142857142854,0,4
@@ org.mockito.internal.MockitoCore.assertMocksNotEmpty,5,6,6,3,5,50.0,83.33333333333334,0,1
@@ org.mockito.internal.MockitoCore.inOrder,12,16,20,6,10,30.0,50.0,0,15
@@ org.mockito.internal.MockitoCore.ignoreStubs,10,12,4,2,3,50.0,75.0,0,2
@@ org.mockito.internal.InOrderImpl.verify,6,7,15,3,5,20.0,33.33333333333333,0,3
@@ org.mockito.internal.invocation.InvocationsFinder$RemoveUnverifiedInOrder.isOut,5,5,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.mockito.internal.invocation.SerializableMethod.<init>,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ org.mockito.internal.invocation.SerializableMethod.equals,25,37,67,16,26,23.88059701492537,38.80597014925373,0,35
@@ org.mockito.internal.invocation.ArgumentsProcessor.expandVarArgs,13,18,22,9,14,40.909090909090914,63.63636363636363,0,5
@@ org.mockito.internal.invocation.ArgumentsProcessor.argumentsToMatchers,9,11,9,3,6,33.33333333333333,66.66666666666666,0,4
@@ org.mockito.internal.invocation.InvocationsFinder.findMatchingChunk,4,4,9,2,2,22.22222222222222,22.22222222222222,0,1
