@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.mockito.MockitoAnnotations.initMocks,7,9,15,11,73.33333333333333,0,9
@@ org.mockito.MockitoAnnotations.scanDeprecatedWay,5,5,2,2,100.0,0,1
@@ org.mockito.MockitoAnnotations.processAnnotationDeprecatedWay,7,8,9,8,88.88888888888889,0,1
@@ org.mockito.MockitoAnnotations.throwIfAlreadyAssigned,4,4,3,3,100.0,0,1
@@ org.mockito.internal.MockitoCore.mock,4,4,8,8,100.0,0,1
@@ org.mockito.internal.MockitoCore.stub,4,4,6,6,100.0,0,1
@@ org.mockito.internal.MockitoCore.verify,6,7,17,17,100.0,0,2
@@ org.mockito.internal.MockitoCore.reset,5,5,2,2,100.0,0,1
@@ org.mockito.internal.MockitoCore.verifyNoMoreInteractions,7,8,7,7,100.0,0,1
@@ org.mockito.internal.MockitoCore.assertMocksNotEmpty,5,6,6,6,100.0,0,1
@@ org.mockito.internal.MockitoCore.inOrder,12,16,20,20,100.0,0,1
@@ org.mockito.internal.MockitoCore.ignoreStubs,10,12,4,4,100.0,0,1
@@ org.mockito.internal.InOrderImpl.verify,6,7,15,15,100.0,0,0
@@ org.mockito.internal.invocation.InvocationsFinder$RemoveUnverifiedInOrder.isOut,5,5,6,6,100.0,0,1
@@ org.mockito.internal.invocation.SerializableMethod.<init>,5,5,3,3,100.0,0,0
@@ org.mockito.internal.invocation.SerializableMethod.equals,25,37,67,67,100.0,0,1
@@ org.mockito.internal.invocation.ArgumentsProcessor.expandVarArgs,13,18,22,20,90.9090909090909,0,1
@@ org.mockito.internal.invocation.ArgumentsProcessor.argumentsToMatchers,9,11,9,9,100.0,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.findMatchingChunk,4,4,9,9,100.0,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.getFirstMatchingChunk,9,11,9,9,100.0,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.findFirstMatchingUnverifiedInvocation,7,8,5,5,100.0,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.findSimilarInvocation,11,14,16,11,68.75,0,1
@@ org.mockito.internal.invocation.InvocationsFinder.findFirstUnverified,12,16,11,11,100.0,0,1
@@ org.mockito.internal.invocation.InvocationsFinder.getLastLocation,4,4,3,3,100.0,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.findPreviousVerifiedInOrder,4,4,3,3,100.0,0,1
@@ org.mockito.internal.invocation.InvocationsFinder.removeVerifiedInOrder,8,9,8,8,100.0,0,1
@@ org.mockito.internal.invocation.InvocationsFinder.findFirstUnverifiedInOrder,11,13,17,5,29.411764705882355,0,1
@@ org.mockito.internal.invocation.ArgumentsComparator.argumentsMatch,6,7,12,12,100.0,0,0
@@ org.mockito.internal.invocation.ArgumentsComparator.argumentsMatch,9,11,20,13,65.0,0,0
@@ org.mockito.internal.invocation.ArgumentsComparator.varArgsMatch,21,30,63,30,47.61904761904761,0,1
@@ org.mockito.internal.invocation.MatchersBinder.validateMatchers,5,6,10,10,100.0,0,0
@@ org.mockito.internal.invocation.InvocationImpl.isVerified,6,7,8,8,100.0,0,0
@@ org.mockito.internal.invocation.InvocationImpl.equals,10,14,29,29,100.0,0,0
@@ org.mockito.internal.invocation.InvocationImpl.callRealMethod,4,4,8,8,100.0,0,1
@@ org.mockito.internal.invocation.InvocationMarker.markVerified,5,5,2,2,100.0,0,0
@@ org.mockito.internal.invocation.InvocationMarker.markVerifiedInOrder,5,5,1,1,100.0,0,1
@@ org.mockito.internal.invocation.InvocationsFinder$RemoveNotMatching.isOut,5,5,6,6,100.0,0,0
@@ org.mockito.internal.invocation.UnusedStubsFinder.find,10,12,5,5,100.0,0,1
@@ org.mockito.internal.invocation.InvocationMatcher.<init>,5,5,6,6,100.0,0,0
@@ org.mockito.internal.invocation.InvocationMatcher.matches,7,9,14,14,100.0,0,1
@@ org.mockito.internal.invocation.InvocationMatcher.hasSimilarMethod,19,26,22,22,100.0,0,2
@@ org.mockito.internal.invocation.InvocationMatcher.hasSameMethod,11,15,28,21,75.0,0,1
@@ org.mockito.internal.invocation.InvocationMatcher.captureArgumentsFrom,9,11,23,16,69.56521739130434,0,1
