@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.mockito.MockitoAnnotations.initMocks,7,9,15,10,66.66666666666666,0,11
@@ org.mockito.MockitoAnnotations.scanDeprecatedWay,5,5,2,2,100.0,0,1
@@ org.mockito.MockitoAnnotations.processAnnotationDeprecatedWay,7,8,9,7,77.77777777777779,0,1
@@ org.mockito.MockitoAnnotations.throwIfAlreadyAssigned,4,4,3,2,66.66666666666666,0,0
@@ org.mockito.internal.MockitoCore.mock,4,4,8,8,100.0,0,0
@@ org.mockito.internal.MockitoCore.stub,4,4,6,5,83.33333333333334,0,1
@@ org.mockito.internal.MockitoCore.verify,6,7,17,14,82.35294117647058,0,0
@@ org.mockito.internal.MockitoCore.reset,5,5,2,2,100.0,0,0
@@ org.mockito.internal.MockitoCore.verifyNoMoreInteractions,7,8,7,6,85.71428571428571,0,0
@@ org.mockito.internal.MockitoCore.assertMocksNotEmpty,5,6,6,3,50.0,0,1
@@ org.mockito.internal.MockitoCore.inOrder,12,16,20,14,70.0,0,1
@@ org.mockito.internal.MockitoCore.ignoreStubs,10,12,4,3,75.0,0,1
@@ org.mockito.internal.InOrderImpl.verify,6,7,15,14,93.33333333333333,0,0
@@ org.mockito.internal.invocation.InvocationsFinder$RemoveUnverifiedInOrder.isOut,5,5,6,6,100.0,0,0
@@ org.mockito.internal.invocation.SerializableMethod.<init>,5,5,3,3,100.0,0,1
@@ org.mockito.internal.invocation.SerializableMethod.equals,25,37,67,49,73.13432835820896,0,2
@@ org.mockito.internal.invocation.ArgumentsProcessor.expandVarArgs,13,18,22,15,68.18181818181817,0,0
@@ org.mockito.internal.invocation.ArgumentsProcessor.argumentsToMatchers,9,11,9,7,77.77777777777779,0,1
@@ org.mockito.internal.invocation.InvocationsFinder.findMatchingChunk,4,4,9,9,100.0,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.getFirstMatchingChunk,9,11,9,8,88.88888888888889,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.findFirstMatchingUnverifiedInvocation,7,8,5,5,100.0,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.findSimilarInvocation,11,14,16,11,68.75,0,1
@@ org.mockito.internal.invocation.InvocationsFinder.findFirstUnverified,12,16,11,6,54.54545454545454,0,1
@@ org.mockito.internal.invocation.InvocationsFinder.getLastLocation,4,4,3,3,100.0,0,1
@@ org.mockito.internal.invocation.InvocationsFinder.findPreviousVerifiedInOrder,4,4,3,3,100.0,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.removeVerifiedInOrder,8,9,8,8,100.0,0,2
@@ org.mockito.internal.invocation.InvocationsFinder.findFirstUnverifiedInOrder,11,13,17,5,29.411764705882355,0,1
@@ org.mockito.internal.invocation.ArgumentsComparator.argumentsMatch,6,7,12,6,50.0,0,1
@@ org.mockito.internal.invocation.ArgumentsComparator.argumentsMatch,9,11,20,13,65.0,0,0
