>> Method, Nduas, Uduas, Rduas, UduaPerc, RduaPerc, Time_s, Time_ms
@@ org.mockito.internal.invocation.ArgumentsComparator.varArgsMatch,63,24,51,38.0952380952381,80.952380952381,0,24
@@ org.mockito.internal.invocation.SerializableMethod.equals,67,16,26,23.8805970149254,38.8059701492537,0,20
@@ org.mockito.MockitoAnnotations.initMocks,15,4,7,26.6666666666667,46.6666666666667,0,18
@@ org.mockito.MockitoAnnotations.processAnnotationDeprecatedWay,20,3,7,15,35,0,15
@@ org.mockito.internal.util.reflection.SuperTypesLastSorter.sort,47,13,22,27.6595744680851,46.8085106382979,0,15
@@ org.mockito.internal.MockitoCore.inOrder,31,8,13,25.8064516129032,41.9354838709677,0,14
@@ org.mockito.internal.invocation.InvocationsFinder.findSimilarInvocation,19,7,12,36.8421052631579,63.1578947368421,0,12
@@ org.mockito.internal.matchers.apachecommons.EqualsBuilder.append,79,18,36,22.7848101265823,45.5696202531646,0,10
@@ org.mockito.internal.MockitoCore.verifyNoMoreInteractions,18,4,6,22.2222222222222,33.3333333333333,0,9
@@ org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool.getSuspiciouslyNotMatchingArgsIndexes,44,10,24,22.7272727272727,54.5454545454545,0,9
@@ org.mockito.internal.matchers.apachecommons.EqualsBuilder.reflectionEquals,71,19,37,26.7605633802817,52.112676056338,0,9
@@ org.mockito.internal.invocation.InvocationsFinder.findFirstUnverifiedInOrder,20,9,16,45,80,0,8
@@ org.mockito.internal.MockitoCore.ignoreStubs,18,4,7,22.2222222222222,38.8888888888889,0,7
@@ org.mockito.internal.matchers.apachecommons.EqualsBuilder.reflectionAppend,36,13,21,36.1111111111111,58.3333333333333,0,7
@@ org.mockito.internal.matchers.apachecommons.EqualsBuilder.append,36,9,19,25,52.7777777777778,0,7
@@ org.mockito.MockitoAnnotations.scanDeprecatedWay,11,2,4,18.1818181818182,36.3636363636364,0,6
@@ org.mockito.internal.invocation.ArgumentsProcessor.expandVarArgs,22,9,14,40.9090909090909,63.6363636363636,0,6
@@ org.mockito.internal.configuration.DefaultAnnotationEngine.process,32,5,10,15.625,31.25,0,6
@@ org.mockito.internal.util.reflection.LenientCopyTool.copyValues,18,4,6,22.2222222222222,33.3333333333333,0,6
@@ org.mockito.internal.debugging.WarningsFinder.find,26,4,7,15.3846153846154,26.9230769230769,0,6
@@ org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues.returnValueFor,33,17,32,51.5151515151515,96.969696969697,0,6
@@ org.mockito.internal.MockitoCore.verify,17,3,5,17.6470588235294,29.4117647058824,0,5
@@ org.mockito.internal.configuration.SpyAnnotationEngine.process,29,7,12,24.1379310344828,41.3793103448276,0,5
@@ org.mockito.internal.debugging.MockitoDebuggerImpl.printInvocations,35,10,17,28.5714285714286,48.5714285714286,0,5
@@ org.mockito.internal.exceptions.stacktrace.StackTraceFilter.filter,38,12,25,31.5789473684211,65.7894736842105,0,5
