@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.joda.time.Years.years,9,14,14,7,7,50.0,50.0,0,17
@@ org.joda.time.Years.yearsBetween,5,6,9,3,5,33.33333333333333,55.55555555555556,0,5
@@ org.joda.time.Years.yearsIn,4,4,4,2,2,50.0,50.0,0,1
@@ org.joda.time.Years.parseYears,4,4,5,2,2,40.0,40.0,0,1
@@ org.joda.time.Years.plus,4,4,5,2,2,40.0,40.0,0,2
@@ org.joda.time.Years.plus,4,4,5,2,2,40.0,40.0,0,2
@@ org.joda.time.Years.minus,4,4,5,2,2,40.0,40.0,0,1
@@ org.joda.time.Years.dividedBy,4,4,5,2,2,40.0,40.0,0,1
@@ org.joda.time.Years.isGreaterThan,10,12,8,4,6,50.0,75.0,0,5
@@ org.joda.time.Years.isLessThan,10,12,8,4,6,50.0,75.0,0,6
@@ org.joda.time.MutableDateTime.now,4,4,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.joda.time.MutableDateTime.now,4,4,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.joda.time.MutableDateTime.setRounding,12,16,15,8,12,53.333333333333336,80.0,0,8
@@ org.joda.time.MutableDateTime.setMillis,9,14,36,7,9,19.444444444444446,25.0,0,11
@@ org.joda.time.MutableDateTime.add,4,4,5,2,2,40.0,40.0,0,2
@@ org.joda.time.MutableDateTime.add,4,4,5,2,2,40.0,40.0,0,1
@@ org.joda.time.MutableDateTime.setZone,4,4,7,2,2,28.57142857142857,28.57142857142857,0,4
@@ org.joda.time.MutableDateTime.setZoneRetainFields,4,4,7,2,2,28.57142857142857,28.57142857142857,0,3
@@ org.joda.time.MutableDateTime.set,4,4,5,2,2,40.0,40.0,0,1
@@ org.joda.time.MutableDateTime.add,6,7,7,3,4,42.857142857142854,57.14285714285714,0,1
@@ org.joda.time.MutableDateTime.addYears,4,4,4,2,2,50.0,50.0,0,1
@@ org.joda.time.MutableDateTime.addWeekyears,4,4,4,2,2,50.0,50.0,0,1
@@ org.joda.time.MutableDateTime.addMonths,4,4,4,2,2,50.0,50.0,0,2
@@ org.joda.time.MutableDateTime.addWeeks,4,4,4,2,2,50.0,50.0,0,2
@@ org.joda.time.MutableDateTime.addDays,4,4,4,2,2,50.0,50.0,0,4
@@ org.joda.time.MutableDateTime.addHours,4,4,4,2,2,50.0,50.0,0,1
@@ org.joda.time.MutableDateTime.addMinutes,4,4,4,2,2,50.0,50.0,0,1
@@ org.joda.time.MutableDateTime.addSeconds,4,4,4,2,2,50.0,50.0,0,0
@@ org.joda.time.MutableDateTime.addMillis,4,4,4,2,2,50.0,50.0,0,1
@@ org.joda.time.MutableDateTime.setDate,5,6,11,3,6,27.27272727272727,54.54545454545454,0,3
@@ org.joda.time.MutableDateTime.setTime,4,4,8,2,3,25.0,37.5,0,1
@@ org.joda.time.MutableDateTime.property,6,7,9,3,4,33.33333333333333,44.44444444444444,0,1
@@ org.joda.time.DateMidnight.now,4,4,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.joda.time.DateMidnight.now,4,4,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.joda.time.DateMidnight.withMillis,5,5,7,2,3,28.57142857142857,42.857142857142854,0,3
@@ org.joda.time.DateMidnight.withChronology,5,5,7,2,3,28.57142857142857,42.857142857142854,0,2
@@ org.joda.time.DateMidnight.withZoneRetainFields,4,4,8,2,2,25.0,25.0,0,1
@@ org.joda.time.DateMidnight.withFields,4,4,5,2,2,40.0,40.0,0,1
@@ org.joda.time.DateMidnight.withField,4,4,5,2,2,40.0,40.0,0,1
@@ org.joda.time.DateMidnight.withFieldAdded,6,7,8,3,4,37.5,50.0,0,2
@@ org.joda.time.DateMidnight.withDurationAdded,5,6,8,3,5,37.5,62.5,0,1
@@ org.joda.time.DateMidnight.withDurationAdded,5,6,8,3,5,37.5,62.5,0,1
@@ org.joda.time.DateMidnight.withPeriodAdded,5,6,8,3,5,37.5,62.5,0,1
@@ org.joda.time.DateMidnight.plusYears,4,4,5,2,2,40.0,40.0,0,0
@@ org.joda.time.DateMidnight.plusMonths,4,4,5,2,2,40.0,40.0,0,1
@@ org.joda.time.DateMidnight.plusWeeks,4,4,5,2,2,40.0,40.0,0,0
@@ org.joda.time.DateMidnight.plusDays,4,4,5,2,2,40.0,40.0,0,0
