@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.closeForWriting,4,4,6,4,66.66666666666666,0,6
@@ org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.close,5,6,10,6,60.0,0,1
@@ org.apache.commons.compress.changes.ChangeSetResults.hasBeenAdded,6,7,12,6,50.0,0,1
@@ org.apache.commons.compress.changes.ChangeSetPerformer.perform,32,49,81,55,67.90123456790124,0,4
@@ org.apache.commons.compress.changes.ChangeSetPerformer.isDeletedLater,12,17,15,8,53.333333333333336,0,1
@@ org.apache.commons.compress.changes.ChangeSetPerformer$ArchiveInputStreamIterator.hasNext,5,5,4,4,100.0,0,1
@@ org.apache.commons.compress.changes.Change.<init>,4,4,5,5,100.0,0,0
@@ org.apache.commons.compress.changes.Change.<init>,5,6,8,6,75.0,0,0
@@ org.apache.commons.compress.changes.ChangeSet.addAddition,15,22,31,22,70.96774193548387,0,1
@@ org.apache.commons.compress.changes.ChangeSet.addDeletion,20,32,41,21,51.21951219512195,0,1
@@ org.apache.commons.compress.archivers.ArchiveInputStream.read,5,5,4,4,100.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveInputStream.count,4,4,5,4,80.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory$1.run,5,5,2,2,100.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory$2.run,5,5,2,2,100.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveOutputStream.count,4,4,5,4,80.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.putAll,5,5,2,2,100.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.setEntryEncoding,4,4,6,6,100.0,0,0
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.createArchiveInputStream,36,52,60,60,100.0,0,1
@@ org.apache.commons.compress.archivers.ArchiveStreamFactory.createArchiveOutputStream,28,40,47,46,97.87234042553192,0,1
