@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer.drawPrimaryLine,33,48,126,22,33,17.46031746031746,26.190476190476193,0,181
@@ org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer.getControlPoints,6,7,27,4,5,14.814814814814813,18.51851851851852,0,13
@@ org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer.getBezierCurve,5,5,27,2,4,7.4074074074074066,14.814814814814813,0,7
@@ org.jfree.chart.LegendItem.<init>,12,16,26,6,10,23.076923076923077,38.46153846153847,0,13
@@ org.jfree.chart.LegendItem.<init>,16,22,30,8,14,26.666666666666668,46.666666666666664,0,5
@@ org.jfree.chart.LegendItem.characterIteratorToString,7,8,15,3,5,20.0,33.33333333333333,0,2
@@ org.jfree.chart.LegendItem.setShape,4,4,4,2,2,50.0,50.0,0,1
@@ org.jfree.chart.LegendItem.setFillPaint,4,4,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.LegendItem.setLinePaint,4,4,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.LegendItem.setOutlinePaint,4,4,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.LegendItem.setLine,4,4,4,2,2,50.0,50.0,0,1
@@ org.jfree.chart.LegendItem.setFillPaintTransformer,4,4,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.LegendItem.equals,47,68,159,24,44,15.09433962264151,27.67295597484277,0,79
@@ org.jfree.chart.LegendItem.clone,6,7,20,4,5,20.0,25.0,0,2
@@ org.jfree.chart.LegendRenderingOrder.equals,8,10,13,4,6,30.76923076923077,46.15384615384615,0,1
@@ org.jfree.chart.LegendRenderingOrder.readResolve,6,7,10,3,4,30.0,40.0,0,1
@@ org.jfree.chart.JFreeChartInfo.getLogo,5,6,9,3,5,33.33333333333333,55.55555555555556,0,1
@@ org.jfree.chart.LegendItemCollection.equals,8,10,15,4,6,26.666666666666668,40.0,0,2
@@ org.jfree.chart.PolarChartPanel.createPopupMenu,13,16,33,6,13,18.181818181818183,39.39393939393939,0,7
