Program  , DUAs , DUA-Node, DUA-Edge, Unc-DUAs , t-Node, t-Edge, t-Unc-DUAs
Csv,   929  , 57.3, 70.3 , 31.5  ,  331.3  ,323.6 , 664.0        
  Cli ,  1291  ,    69.6  , 83.0, 29.4 ,  426.4 , 426.6  , 877.0      
 Codec , 4446 , 38.0 , 48.4 ,  37.9 , 640.1   , 634.8 , 6268.0  
 Jsoup ,  1866 , 80.0 , 92.9 , 26.8 , 582.7  , 567.3 , 828.1  
  J-Xml ,  3402 , 75.7  , 87.9  , 26.5 ,   686.2 , 665.8 , 1187.5     
 Compress , 6286 , 58.7,  67.0 ,  28.3, 1109.5   , 1182.2 ,5801.6  
 Gson , 3281 , 76.6  , 88.4  , 29.7 , 767.1  , 741.9 , 1140.3    
 Mockito , 4236 , 74.6  , 90.0  ,  32.1 , 1104.2 , 1047.9 , 1482.0   
 J-Core , 17653 , 59.5   ,   72.7 , 28.1,   1484.0 , 1469.2 , 6199.1 
 JxPath ,   20178 ,  66.9, 84.4  , 29.7  , 1685.0 , 1661.8 , 6201.6  
 Lang  , 22290 , 62.8 , 73.9 ,  32.0 , 1996.5 , 1937.8 , 5717.0   
 Time , 18160 ,  69.2  , 80.9 , 31.1 , 2101.5 , 2046.9 , 5143.0     
 Collections ,  16937 , 68.8 ,  81.9 , 30.0 , 2107.3  , 2028.8 , 4319.1  
 J-DataBind ,  31797 , 73.8 , 85.6 ,  26.4 , 2845.2 , 2774.8 , 6963.8  
  Math , 87603  , 57.9  , 64.2, 25.3 , 11625.4 , 11220.4 , 100184.0 
 Chart     , 81847 ,   72.8 ,  82.2 ,  24.5    , 6131.7 , 5776.9 , 17165.8
 Closure , 78068 , 67.9  , 83.7 , 31.8 ,  6106.6 ,  5817.2 , 31206.8 
Elki  , 180675  , 63.4  ,  72.4 , 24.9 , 12544.0 , 12367.6 , 39454.3  
SystemDS  ,  255382 , 66.0  ,  79.6  , 26.5 , 14012.5 , 13943.9 , 42679.6  
 Weka , 337063  , 59.9  , 70.9  , 27.4 , 19647.2 , 19164.1  , 84613.3 
 CoreNLP  ,  255382 , 54.6  , 65.2  , 36.7 , 32163.9  , 30831.3 , 1114919.0 
