@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ elki.clustering.svm.SupportVectorClustering.run,35,49,110,23,36,20.909090909090907,32.72727272727273,0,217
@@ elki.clustering.svm.SupportVectorClustering.checkConnectivity,9,11,40,5,10,12.5,25.0,0,15
@@ elki.clustering.svm.SupportVectorClustering.accept,8,9,28,5,10,17.857142857142858,35.714285714285715,0,35
@@ elki.clustering.svm.SupportVectorClustering.calcfixedpart,8,9,37,5,11,13.513513513513514,29.72972972972973,0,24
@@ elki.clustering.svm.SupportVectorClustering.collectClusters,11,13,15,3,5,20.0,33.33333333333333,0,5
@@ elki.svm.NuSVC.solve,23,29,75,18,32,24.0,42.66666666666667,0,99
@@ elki.svm.EpsilonSVR.solve,8,9,44,4,7,9.090909090909092,15.909090909090908,0,7
@@ elki.svm.AbstractSVR.cross_validation,14,17,50,8,13,16.0,26.0,0,24
@@ elki.svm.AbstractSVR.svr_probability,11,13,45,7,17,15.555555555555555,37.77777777777778,0,9
@@ elki.svm.AbstractSVR.train,15,19,62,12,26,19.35483870967742,41.935483870967744,0,20
@@ elki.svm.R2q.solve,5,5,18,2,4,11.11111111111111,22.22222222222222,0,3
@@ elki.svm.AbstractSingleSVM.train_one,13,17,43,9,20,20.930232558139537,46.51162790697674,0,11
@@ elki.svm.AbstractSingleSVM.shuffledIndex,8,9,21,4,7,19.047619047619047,33.33333333333333,0,3
@@ elki.svm.AbstractSingleSVM.makeFolds,5,5,12,2,4,16.666666666666664,33.33333333333333,0,1
@@ elki.svm.AbstractSingleSVM.stratifiedFolds,32,41,119,24,39,20.168067226890756,32.773109243697476,0,58
@@ elki.svm.AbstractSingleSVM.groupClasses,32,44,146,47,78,32.19178082191781,53.42465753424658,0,77
@@ elki.svm.AbstractSingleSVM.nonzero,6,7,4,3,4,75.0,100.0,0,0
@@ elki.svm.OneClassSVM.solve,4,4,17,2,3,11.76470588235294,17.647058823529413,0,1
@@ elki.svm.NuSVR.solve,11,13,48,7,13,14.583333333333334,27.083333333333332,0,9
@@ elki.svm.SVDD.solve,24,31,109,18,28,16.51376146788991,25.688073394495415,0,23
@@ elki.svm.AbstractSVC.train,78,107,368,93,163,25.271739130434785,44.29347826086957,0,558
@@ elki.svm.AbstractSVC.cross_validation,22,28,86,18,30,20.930232558139537,34.883720930232556,0,42
@@ elki.svm.AbstractSVC.sigmoid_train,42,56,194,59,96,30.412371134020617,49.48453608247423,0,216
@@ elki.svm.AbstractSVC.binary_svc_probability,38,52,130,43,61,33.07692307692307,46.92307692307692,0,168
@@ elki.svm.CSVC.solve,17,22,64,11,20,17.1875,31.25,0,14
@@ elki.svm.solver.Solver.get_C,5,5,9,2,3,22.22222222222222,33.33333333333333,0,0
@@ elki.svm.solver.Solver.update_alpha_status,7,8,11,3,5,27.27272727272727,45.45454545454545,0,1
@@ elki.svm.solver.Solver.is_upper_bound,5,5,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ elki.svm.solver.Solver.is_lower_bound,5,5,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ elki.svm.solver.Solver.is_free,5,5,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ elki.svm.solver.Solver.reconstruct_gradient,31,42,139,31,53,22.302158273381295,38.1294964028777,0,43
@@ elki.svm.solver.Solver.solve,53,78,238,40,65,16.80672268907563,27.310924369747898,0,300
@@ elki.svm.solver.Solver.buildSolutionInfo,5,5,16,2,4,12.5,25.0,0,1
@@ elki.svm.solver.Solver.initializeAlpha,5,5,11,2,4,18.181818181818183,36.36363636363637,0,1
@@ elki.svm.solver.Solver.initializeActiveSet,5,5,14,2,4,14.285714285714285,28.57142857142857,0,1
@@ elki.svm.solver.Solver.update_G,5,5,16,2,4,12.5,25.0,0,2
@@ elki.svm.solver.Solver.update_G_bar,5,5,14,2,4,14.285714285714285,28.57142857142857,0,0
@@ elki.svm.solver.Solver.initializeGradient,13,17,58,11,24,18.96551724137931,41.37931034482759,0,17
@@ elki.svm.solver.Solver.calculate_obj,5,5,18,2,4,11.11111111111111,22.22222222222222,0,2
@@ elki.svm.solver.Solver.nonzero,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ elki.svm.solver.Solver.select_working_set,6,7,10,3,4,30.0,40.0,0,1
@@ elki.svm.solver.Solver.maxViolating,12,17,73,19,49,26.027397260273972,67.12328767123287,0,19
@@ elki.svm.solver.Solver.minViolating,25,36,144,41,92,28.47222222222222,63.888888888888886,0,116
@@ elki.svm.solver.Solver.do_shrinking,38,53,191,88,155,46.07329842931937,81.15183246073299,0,163
@@ elki.svm.solver.Solver.be_shrunk,19,26,52,9,16,17.307692307692307,30.76923076923077,0,5
@@ elki.svm.solver.Solver.calculate_rho,29,38,106,39,83,36.79245283018868,78.30188679245283,0,84
@@ elki.svm.solver.NuSolver.select_working_set,39,59,240,73,154,30.416666666666664,64.16666666666667,0,170
@@ elki.svm.solver.NuSolver.be_shrunk,19,26,52,9,16,17.307692307692307,30.76923076923077,0,3
@@ elki.svm.solver.NuSolver.do_shrinking,37,51,187,86,145,45.98930481283423,77.54010695187165,0,105
@@ elki.svm.solver.NuSolver.calculate_rho,34,45,110,33,76,30.0,69.0909090909091,0,62
@@ elki.svm.model.ProbabilisticClassificationModel.predict_prob,16,20,68,12,24,17.647058823529413,35.294117647058826,0,15
@@ elki.svm.model.ProbabilisticClassificationModel.sigmoid_predict,4,4,4,2,2,50.0,50.0,0,1
@@ elki.svm.model.ProbabilisticClassificationModel.multiclass_probability,35,46,140,36,60,25.71428571428571,42.857142857142854,0,91
@@ elki.svm.model.RegressionModel.predict,5,5,20,2,4,10.0,20.0,0,1
@@ elki.svm.model.RegressionModel.predict,5,5,19,2,4,10.526315789473683,21.052631578947366,0,1
@@ elki.svm.model.ClassificationModel.predict,28,36,130,22,40,16.923076923076923,30.76923076923077,0,51
@@ elki.svm.model.ClassificationModel.predict,28,36,129,22,40,17.05426356589147,31.007751937984494,0,49
@@ elki.svm.qmatrix.Kernel.initialize,5,5,10,2,4,20.0,40.0,0,1
@@ elki.svm.qmatrix.Kernel.swap_index,4,4,9,2,2,22.22222222222222,22.22222222222222,0,1
@@ elki.svm.qmatrix.CachedQMatrix.<init>,5,5,12,2,4,16.666666666666664,33.33333333333333,0,1
@@ elki.svm.qmatrix.CachedQMatrix.lru_insert,6,8,14,4,8,28.57142857142857,57.14285714285714,0,2
@@ elki.svm.qmatrix.CachedQMatrix.lru_delete,5,5,10,2,3,20.0,30.0,0,1
@@ elki.svm.qmatrix.CachedQMatrix.get_data,22,29,59,14,20,23.728813559322035,33.89830508474576,0,10
@@ elki.svm.qmatrix.CachedQMatrix.swap_index,77,115,269,99,195,36.80297397769517,72.4907063197026,0,206
@@ elki.svm.qmatrix.CachedQMatrix.get_Q,4,4,5,2,2,40.0,40.0,0,0
@@ elki.svm.qmatrix.SVR_Q.<init>,5,5,16,2,4,12.5,25.0,0,2
@@ elki.svm.qmatrix.SVR_Q.initialize,5,5,14,2,4,14.285714285714285,28.57142857142857,0,1
@@ elki.svm.qmatrix.SVR_Q.get_Q,5,5,14,2,4,14.285714285714285,28.57142857142857,0,1
@@ elki.svm.qmatrix.SVC_Q.swap_index,4,4,8,2,2,25.0,25.0,0,1
@@ elki.svm.qmatrix.R2_Qq.similarity,5,5,9,2,3,22.22222222222222,33.33333333333333,0,0
@@ elki.svm.data.ByteWeightedArrayDataSet.add,4,4,17,2,3,11.76470588235294,17.647058823529413,0,1
@@ elki.svm.data.DoubleWeightedDataSet.add,4,4,17,2,3,11.76470588235294,17.647058823529413,0,1
@@ elki.outlier.svm.OCSVM.run,12,16,45,9,17,20.0,37.77777777777778,0,6
@@ elki.outlier.svm.SVDD.run,15,20,50,11,19,22.0,38.0,0,8
@@ elki.persistent.AbstractExternalizablePage.equals,8,11,16,5,8,31.25,50.0,0,1
@@ elki.persistent.DefaultPageHeader.readHeader,4,4,4,2,2,50.0,50.0,0,0
@@ elki.index.AbstractRefiningIndex.<init>,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ elki.index.AbstractRefiningIndex.countRefinements,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ elki.index.AbstractRefiningIndex.logStatistics,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ elki.index.tree.AbstractNode.toString,5,5,5,2,3,40.0,60.0,0,0
@@ elki.index.tree.AbstractNode.addEntry,10,12,12,5,6,41.66666666666667,50.0,0,1
@@ elki.index.tree.AbstractNode.deleteAllEntries,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ elki.index.tree.AbstractNode.removeMask,12,15,48,11,19,22.916666666666664,39.58333333333333,0,4
@@ elki.index.tree.AbstractNode.splitTo,20,27,52,15,23,28.846153846153843,44.230769230769226,0,9
@@ elki.index.tree.AbstractNode.splitTo,20,27,29,11,15,37.93103448275862,51.724137931034484,0,5
@@ elki.index.tree.AbstractNode.splitByMask,16,21,58,14,24,24.137931034482758,41.37931034482759,0,9
@@ elki.index.tree.TreeIndexHeader.writeEmptyPages,4,4,8,2,2,25.0,25.0,0,0
@@ elki.index.tree.TreeIndexHeader.readEmptyPages,6,7,22,3,5,13.636363636363635,22.727272727272727,0,1
@@ elki.index.tree.IndexTree.initialize,4,4,10,2,3,20.0,30.0,0,0
@@ elki.index.tree.IndexTree.isRoot,5,5,4,2,2,50.0,50.0,0,0
@@ elki.index.tree.IndexTree.getPageID,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ elki.index.tree.IndexTree.initializeFromFile,4,4,5,2,3,40.0,60.0,0,0
@@ elki.index.tree.IndexTree.initialize,4,4,9,2,3,22.22222222222222,33.33333333333333,0,0
@@ elki.index.tree.AbstractNode$1.hasNext,5,5,8,2,2,25.0,25.0,0,0
@@ elki.index.tree.AbstractNode$1.next,4,4,12,2,2,16.666666666666664,16.666666666666664,0,0
@@ elki.index.tree.IndexTreePath.<init>,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ elki.index.tree.IndexTreePath.getPathCount,5,5,11,2,3,18.181818181818183,27.27272727272727,0,1
@@ elki.index.tree.IndexTreePath.equals,14,20,58,12,22,20.689655172413794,37.93103448275862,0,8
@@ elki.index.tree.IndexTreePath.toString,11,13,25,7,11,28.000000000000004,44.0,0,2
@@ elki.index.tree.BreadthFirstEnumeration.hasNext,6,7,8,3,4,37.5,50.0,0,1
@@ elki.index.tree.BreadthFirstEnumeration.next,7,9,17,5,7,29.411764705882355,41.17647058823529,0,1
@@ elki.index.distancematrix.PrecomputedSimilarityMatrix$PrecomputedSimilarityRangeQuery.getRange,15,20,58,12,24,20.689655172413794,41.37931034482759,0,9
@@ elki.index.distancematrix.PrecomputedSimilarityMatrix$PrecomputedSimilarityQuery.similarity,5,5,8,2,3,25.0,37.5,0,1
@@ elki.index.distancematrix.PrecomputedSimilarityMatrix.<init>,4,4,2,2,2,100.0,100.0,0,0
@@ elki.index.distancematrix.PrecomputedSimilarityMatrix.initialize,17,22,40,7,11,17.5,27.500000000000004,0,6
@@ elki.index.distancematrix.PrecomputedSimilarityMatrix.getOffset,5,5,6,2,3,33.33333333333333,50.0,0,1
@@ elki.index.distancematrix.PrecomputedSimilarityMatrix.logStatistics,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ elki.index.distancematrix.PrecomputedSimilarityMatrix.getSimilarityQuery,5,5,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ elki.index.distancematrix.PrecomputedSimilarityMatrix.similarityRangeByDBID,5,5,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ elki.index.projected.ProjectedIndex$ProjectedKNNByObject.getKNN,7,8,25,2,3,8.0,12.0,0,1
@@ elki.index.projected.ProjectedIndex$ProjectedRKNNByObject.getRKNN,7,8,25,2,3,8.0,12.0,0,1
@@ elki.index.projected.ProjectedIndex$ProjectedKNNByDBID.getKNN,7,8,25,2,3,8.0,12.0,0,2
@@ elki.index.projected.ProjectedIndex$Factory$Par.configure,4,4,8,2,2,25.0,25.0,0,0
@@ elki.index.projected.ProjectedIndex$ProjectedRangeByDBID.getRange,12,15,29,3,6,10.344827586206897,20.689655172413794,0,3
@@ elki.index.projected.ProjectedIndex$ProjectedRangeByObject.getRange,12,15,29,3,6,10.344827586206897,20.689655172413794,0,2
@@ elki.index.projected.ProjectedIndex.<init>,5,5,5,2,3,40.0,60.0,0,1
@@ elki.index.projected.ProjectedIndex.countRefinement,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ elki.index.projected.ProjectedIndex.logStatistics,4,4,9,2,3,22.22222222222222,33.33333333333333,0,0
@@ elki.index.projected.ProjectedIndex.kNNByObject,9,12,23,5,8,21.73913043478261,34.78260869565217,0,2
@@ elki.index.projected.ProjectedIndex.kNNByDBID,9,12,23,5,8,21.73913043478261,34.78260869565217,0,1
@@ elki.index.projected.ProjectedIndex.rangeByObject,9,12,23,5,8,21.73913043478261,34.78260869565217,0,1
@@ elki.index.projected.ProjectedIndex.rangeByDBID,9,12,23,5,8,21.73913043478261,34.78260869565217,0,1
@@ elki.index.projected.ProjectedIndex.rkNNByObject,9,12,23,5,8,21.73913043478261,34.78260869565217,0,1
@@ elki.index.projected.ProjectedIndex.rkNNByDBID,9,12,23,5,8,21.73913043478261,34.78260869565217,0,1
@@ elki.index.projected.ProjectedIndex$Factory.instantiate,12,15,44,5,9,11.363636363636363,20.454545454545457,0,4
@@ elki.index.projected.ProjectedIndex$ProjectedRKNNByDBID.getRKNN,7,8,25,2,3,8.0,12.0,0,2
@@ elki.utilities.datastructures.KuhnMunkresTest.test1,8,9,20,5,10,25.0,50.0,0,2
@@ elki.utilities.datastructures.KuhnMunkresTest.test2,8,9,20,5,10,25.0,50.0,0,2
@@ elki.utilities.datastructures.KuhnMunkresTest.testNonSq,8,9,20,5,10,25.0,50.0,0,2
@@ elki.utilities.datastructures.KuhnMunkresTest.testDifficult,8,9,20,5,10,25.0,50.0,0,2
