@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ elki.clustering.svm.SupportVectorClustering.run,35,49,110,77,70.0,0,11
@@ elki.clustering.svm.SupportVectorClustering.checkConnectivity,9,11,40,36,90.0,0,1
@@ elki.clustering.svm.SupportVectorClustering.accept,8,9,28,19,67.85714285714286,0,0
@@ elki.clustering.svm.SupportVectorClustering.calcfixedpart,8,9,37,23,62.16216216216216,0,1
@@ elki.clustering.svm.SupportVectorClustering.collectClusters,11,13,15,15,100.0,0,1
@@ elki.svm.NuSVC.solve,23,29,75,41,54.666666666666664,0,2
@@ elki.svm.EpsilonSVR.solve,8,9,44,33,75.0,0,1
@@ elki.svm.AbstractSVR.cross_validation,14,17,50,33,66.0,0,1
@@ elki.svm.AbstractSVR.svr_probability,11,13,45,22,48.888888888888886,0,0
@@ elki.svm.AbstractSVR.train,15,19,62,28,45.16129032258064,0,1
@@ elki.svm.R2q.solve,5,5,18,14,77.77777777777779,0,0
@@ elki.svm.AbstractSingleSVM.train_one,13,17,43,23,53.48837209302325,0,0
@@ elki.svm.AbstractSingleSVM.shuffledIndex,8,9,21,13,61.904761904761905,0,0
@@ elki.svm.AbstractSingleSVM.makeFolds,5,5,12,8,66.66666666666666,0,0
@@ elki.svm.AbstractSingleSVM.stratifiedFolds,32,41,119,66,55.46218487394958,0,1
@@ elki.svm.AbstractSingleSVM.groupClasses,32,44,146,41,28.08219178082192,0,1
@@ elki.svm.AbstractSingleSVM.nonzero,6,7,4,2,50.0,0,0
@@ elki.svm.OneClassSVM.solve,4,4,17,15,88.23529411764706,0,0
@@ elki.svm.NuSVR.solve,11,13,48,35,72.91666666666666,0,1
@@ elki.svm.SVDD.solve,24,31,109,63,57.798165137614674,0,1
@@ elki.svm.AbstractSVC.train,78,107,368,167,45.380434782608695,0,4
@@ elki.svm.AbstractSVC.cross_validation,22,28,86,54,62.7906976744186,0,0
@@ elki.svm.AbstractSVC.sigmoid_train,42,56,194,73,37.628865979381445,0,2
@@ elki.svm.AbstractSVC.binary_svc_probability,38,52,130,66,50.76923076923077,0,2
@@ elki.svm.CSVC.solve,17,22,64,41,64.0625,0,0
@@ elki.svm.solver.Solver.get_C,5,5,9,9,100.0,0,0
@@ elki.svm.solver.Solver.update_alpha_status,7,8,11,11,100.0,0,1
