@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ edu.stanford.nlp.ling.CoreUtilities.toSentence,7,8,20,5,10,25.0,50.0,0,30
@@ edu.stanford.nlp.ling.CoreUtilities.deepCopy,5,5,2,1,2,50.0,100.0,0,1
@@ edu.stanford.nlp.ling.CoreUtilities.toCoreLabelList,5,5,2,1,2,50.0,100.0,0,1
@@ edu.stanford.nlp.ling.CoreUtilities.toCoreLabelList,5,5,2,1,2,50.0,100.0,0,1
@@ edu.stanford.nlp.ling.CoreUtilities.toCoreLabelList,8,10,19,5,8,26.31578947368421,42.10526315789473,0,9
@@ edu.stanford.nlp.ling.CoreUtilities.toCoreLabelListWithCharacterOffsets,8,10,21,5,8,23.809523809523807,38.095238095238095,0,12
@@ edu.stanford.nlp.ling.CoreUtilities.toCoreLabelList,11,15,26,8,12,30.76923076923077,46.15384615384615,0,13
@@ edu.stanford.nlp.ling.TaggedWord.<init>,4,4,4,2,2,50.0,50.0,0,2
@@ edu.stanford.nlp.ling.TaggedWord.setFromString,5,5,7,2,2,28.57142857142857,28.57142857142857,0,2
@@ edu.stanford.nlp.ling.MultiTokenTag$Tag.equals,13,18,35,7,12,20.0,34.285714285714285,0,13
@@ edu.stanford.nlp.ling.DocumentReader.<init>,4,4,7,2,3,28.57142857142857,42.857142857142854,0,1
@@ edu.stanford.nlp.ling.DocumentReader.readDocument,4,4,4,2,2,50.0,50.0,0,0
@@ edu.stanford.nlp.ling.DocumentReader.getBufferedReader,6,7,7,3,4,42.857142857142854,57.14285714285714,0,1
@@ edu.stanford.nlp.ling.DocumentReader.readText,7,8,9,2,3,22.22222222222222,33.33333333333333,0,2
@@ edu.stanford.nlp.ling.WordLemmaTag.setFromString,7,8,15,3,4,20.0,26.666666666666668,0,2
@@ edu.stanford.nlp.ling.WordLemmaTag.equals,11,15,19,6,10,31.57894736842105,52.63157894736842,0,7
@@ edu.stanford.nlp.ling.WordLemmaTag.hashCode,11,13,16,6,7,37.5,43.75,0,4
@@ edu.stanford.nlp.ling.WordLemmaTag.compareTo,6,7,10,3,4,30.0,40.0,0,1
@@ edu.stanford.nlp.ling.ValueLabel.toString,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ edu.stanford.nlp.ling.ValueLabel.equals,9,12,10,5,8,50.0,80.0,0,1
@@ edu.stanford.nlp.ling.ValueLabel.hashCode,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ edu.stanford.nlp.ling.BasicDocument.init,8,9,9,4,5,44.44444444444444,55.55555555555556,0,1
@@ edu.stanford.nlp.ling.BasicDocument.label,5,5,6,2,3,33.33333333333333,50.0,0,1
@@ edu.stanford.nlp.ling.BasicDocument.setLabels,4,4,5,2,2,40.0,40.0,0,0
@@ edu.stanford.nlp.ling.BasicDocument.addLabel,4,4,5,2,2,40.0,40.0,0,1
@@ edu.stanford.nlp.ling.BasicDocument.setTitle,5,5,5,2,2,40.0,40.0,0,2
@@ edu.stanford.nlp.ling.BasicDocument.presentableText,7,8,6,2,4,33.33333333333333,66.66666666666666,0,1
@@ edu.stanford.nlp.ling.CoreLabel.<init>,5,5,3,1,2,33.33333333333333,66.66666666666666,0,1
@@ edu.stanford.nlp.ling.CoreLabel.<init>,15,19,18,4,8,22.22222222222222,44.44444444444444,0,3
@@ edu.stanford.nlp.ling.CoreLabel.initFromStrings,20,27,53,14,29,26.41509433962264,54.71698113207547,0,31
@@ edu.stanford.nlp.ling.CoreLabel.parseStringKeys,7,8,20,5,10,25.0,50.0,0,3
@@ edu.stanford.nlp.ling.CoreLabel.initFromStrings,16,21,47,12,25,25.53191489361702,53.191489361702125,0,20
@@ edu.stanford.nlp.ling.CoreLabel.getString,4,4,4,2,2,50.0,50.0,0,0
@@ edu.stanford.nlp.ling.CoreLabel.setWord,6,8,9,4,6,44.44444444444444,66.66666666666666,0,1
@@ edu.stanford.nlp.ling.CoreLabel.index,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ edu.stanford.nlp.ling.CoreLabel.sentIndex,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ edu.stanford.nlp.ling.CoreLabel.beginPosition,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ edu.stanford.nlp.ling.CoreLabel.endPosition,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ edu.stanford.nlp.ling.CoreLabel.toString,43,69,113,28,40,24.778761061946902,35.39823008849557,0,20
@@ edu.stanford.nlp.ling.WordTag.toString,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ edu.stanford.nlp.ling.WordTag.setFromString,5,5,7,2,2,28.57142857142857,28.57142857142857,0,0
