@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.sysds.lops.MapMult.<init>,11,13,18,18,100.0,0,7
@@ org.apache.sysds.lops.MapMult.getBroadcastInput,7,8,9,9,100.0,0,1
@@ org.apache.sysds.lops.MapMult.getInstructions,4,4,9,8,88.88888888888889,0,0
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.isBasic,5,5,4,4,100.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.isLeft,9,13,20,20,100.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.isRight,6,7,4,4,100.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.isMult,10,15,24,24,100.0,0,2
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.isMinus,8,11,16,16,100.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.hasFourInputs,8,11,16,16,100.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.hasScalar,6,7,8,8,100.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.computeOutputCharacteristics,7,8,9,9,100.0,0,0
@@ org.apache.sysds.lops.FunctionCallCP.<init>,8,10,14,14,100.0,0,1
@@ org.apache.sysds.lops.FunctionCallCP.<init>,5,5,5,5,100.0,0,0
@@ org.apache.sysds.lops.FunctionCallCP.requiresOutputCreateVar,5,5,6,6,100.0,0,1
@@ org.apache.sysds.lops.FunctionCallCP.getInstructionsMultipleReturnBuiltins,8,9,25,17,68.0,0,1
@@ org.apache.sysds.lops.FunctionCallCP.getInstructions,10,12,29,25,86.20689655172413,0,2
@@ org.apache.sysds.lops.WeightedCrossEntropy$WCeMMType.hasFourInputs,5,5,4,4,100.0,0,1
@@ org.apache.sysds.lops.Checkpoint.getInstructions,4,4,9,9,100.0,0,0
@@ org.apache.sysds.lops.Checkpoint.getStorageLevelString,24,34,22,22,100.0,0,1
@@ org.apache.sysds.lops.MapMultChain$ChainType.isWeighted,6,7,8,8,100.0,0,1
